UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,pct_secundaria_completa,POB_HAB,IDH_RANK
150114,LIMA,LIMA,LA MOLINA,0.845217,5,1939.467209,80.647669,14.70027,78.16154,160839,1
150116,LIMA,LIMA,LINCE,0.842428,5,2037.326546,80.467942,12.702343,82.555665,46299,2
150113,LIMA,LIMA,JESUS MARIA,0.83719,5,1989.773896,80.41921,13.037629,81.092223,74873,3
150120,LIMA,LIMA,MAGDALENA DEL MAR,0.833929,5,1986.267298,80.461971,12.999281,79.649577,57879,4
150121,LIMA,LIMA,PUEBLO LIBRE,0.833695,5,1936.245752,80.471,13.182552,82.379479,78731,5
150122,LIMA,LIMA,MIRAFLORES,0.83264,5,1925.786897,80.31446,13.965074,77.784099,87899,6
150130,LIMA,LIMA,SAN BORJA,0.823616,5,1867.853206,80.641345,13.635913,78.762975,106585,7
150136,LIMA,LIMA,SAN MIGUEL,0.822401,5,1966.554093,80.326177,12.776359,76.66409,146886,8
150104,LIMA,LIMA,BARRANCO,0.820764,5,1956.551731,80.149769,12.592455,78.347218,27482,9
150141,LIMA,LIMA,SURQUILLO,0.817114,5,1940.453432,80.217404,12.295076,79.576586,88766,10
150105,LIMA,LIMA,BREÑA,0.812114,5,1868.666016,79.979044,12.905725,78.948953,75598,11
150140,LIMA,LIMA,SANTIAGO DE SURCO,0.801757,5,1766.148806,80.484873,13.156716,78.743024,359777,12
150134,LIMA,LIMA,SAN LUIS,0.793258,5,1769.655751,81.516311,11.778593,80.699041,53673,13
150131,LIMA,LIMA,SAN ISIDRO,0.788832,5,1641.655293,80.35414,13.858206,78.470219,53212,14
180303,MOQUEGUA,ILO,PACOCHA,0.767961,5,1718.803526,78.542827,12.908522,70.569514,3079,15
040126,AREQUIPA,AREQUIPA,YANAHUARA,0.765344,5,1507.422866,78.622655,13.790439,83.515494,27293,16
150101,LIMA,LIMA,LIMA,0.764685,5,1633.787715,80.236821,12.014176,77.960827,250806,17
040101,AREQUIPA,AREQUIPA,AREQUIPA,0.762167,5,1538.109987,78.825498,13.192212,81.650771,42333,18
150117,LIMA,LIMA,LOS OLIVOS,0.758463,5,1628.566115,80.519223,11.33839,79.200456,363988,19
150108,LIMA,LIMA,CHORRILLOS,0.758355,5,1662.777147,79.825956,11.463514,76.765127,333655,20
130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,0.753164,5,1599.636267,80.003126,11.742569,76.99495,66890,21
070105,CALLAO,CALLAO,LA PUNTA,0.752697,5,1556.718249,81.225202,12.939153,69.272934,2449,22
150705,LIMA,HUAROCHIRI,CHICLA,0.74811,5,1975.043673,71.690315,11.546293,68.093041,6122,23
150138,LIMA,LIMA,SANTA MARIA DEL MAR,0.74666,5,1849.18807,79.0591,10.538937,64.032471,1631,24
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,0.745374,5,1448.531794,79.458973,12.665196,82.733984,76621,25
180106,MOQUEGUA,MARISCAL NIETO,TORATA,0.743778,5,1843.898839,76.502682,10.365289,70.738441,5470,26
150135,LIMA,LIMA,SAN MARTIN DE PORRES,0.741998,5,1554.686897,80.318223,11.084204,79.004464,739416,27
150107,LIMA,LIMA,CHACLACAYO,0.741054,5,1539.763506,80.728737,11.206344,77.769115,43756,28
070104,CALLAO,CALLAO,LA PERLA,0.739658,5,1455.248011,81.923121,11.863813,77.329009,58026,29
080108,CUSCO,CUSCO,WANCHAQ,0.738901,5,1463.259092,77.128704,13.123553,80.536595,61900,30
150513,LIMA,CAÑETE,SAN ANTONIO,0.737676,5,1484.391525,79.669218,11.247038,84.385242,4509,31
230302,TACNA,JORGE BASADRE,ILABAYA,0.736615,5,1861.252203,74.537188,11.117052,65.073435,3072,32
150137,LIMA,LIMA,SANTA ANITA,0.734731,5,1571.815098,80.700148,10.519505,76.479814,229835,33
150801,LIMA,HUAURA,HUACHO,0.732735,5,1405.669822,78.209038,13.642918,76.314927,62016,34
150128,LIMA,LIMA,RIMAC,0.730004,5,1559.041186,80.217245,10.636846,75.116396,156760,35
081304,CUSCO,URUBAMBA,MACHUPICCHU,0.729357,5,1576.324184,79.041312,10.793417,74.937817,8082,36
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,0.729,5,1551.106644,80.509263,10.358587,76.912482,384729,37
070102,CALLAO,CALLAO,BELLAVISTA,0.72852,5,1409.085241,81.606077,11.686408,77.639226,70075,38
120805,JUNIN,YAULI,MOROCOCHA,0.727764,5,1632.82079,80.047986,10.377666,69.544055,4146,39
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,0.726691,5,1563.896288,78.010729,10.65317,78.657737,7071,40
150129,LIMA,LIMA,SAN BARTOLO,0.723834,5,1528.397784,79.665473,10.576618,76.375259,8667,41
150110,LIMA,LIMA,COMAS,0.721893,5,1458.320609,80.090208,10.971588,77.958189,530000,42
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,0.715116,5,1377.943848,79.576526,11.809757,77.255765,331253,43
150115,LIMA,LIMA,LA VICTORIA,0.714159,5,1482.479365,79.908299,10.522505,74.791799,156888,44
150501,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,0.70679,5,1382.473893,79.529163,10.462097,82.803167,60076,45
120810,JUNIN,YAULI,YAULI,0.704505,5,1573.7987,76.038669,10.75616,68.745549,4923,46
150505,LIMA,CAÑETE,CHILCA,0.703305,5,1399.966152,79.27699,10.49598,78.757877,18760,47
150515,LIMA,CAÑETE,SANTA CRUZ DE FLORES,0.702148,5,1364.915355,79.507523,9.739598,89.215043,3122,48
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,0.701939,5,1446.202888,77.751738,10.84321,74.139092,64680,49
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,0.701053,5,1464.692616,79.628676,10.064318,73.146948,1150285,50
150127,LIMA,LIMA,PUNTA NEGRA,0.699762,5,1568.892518,76.102463,10.594361,67.491697,8293,51
150142,LIMA,LIMA,VILLA EL SALVADOR,0.699048,5,1432.504429,80.145979,10.004398,74.385168,459161,52
150111,LIMA,LIMA,EL AGUSTINO,0.697062,5,1428.892506,81.405012,9.635174,73.571515,203380,53
230101,TACNA,TACNA,TACNA,0.696613,5,1371.819928,76.670661,11.654573,75.491958,74177,54
150126,LIMA,LIMA,PUNTA HERMOSA,0.695989,5,1549.281979,77.130703,10.144341,67.89627,12551,55
150119,LIMA,LIMA,LURIN,0.690924,5,1476.835195,78.416261,9.826485,70.974363,95909,56
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,0.689812,5,1409.843227,79.880157,9.755251,73.895534,452660,57
040110,AREQUIPA,AREQUIPA,MIRAFLORES,0.689308,5,1241.497645,78.724617,11.552714,81.316771,53017,58
150103,LIMA,LIMA,ATE,0.686855,5,1425.449863,79.623632,9.209138,76.308946,684922,59
150507,LIMA,CAÑETE,IMPERIAL,0.686345,5,1251.167233,82.297749,10.211792,79.493293,40902,60
150516,LIMA,CAÑETE,ZUÑIGA,0.686133,5,1567.042132,77.84585,8.99319,68.737112,1692,61
230303,TACNA,JORGE BASADRE,ITE,0.686004,5,1598.337724,73.873679,9.721784,70.001391,3076,62
150509,LIMA,CAÑETE,MALA,0.685814,5,1281.046442,80.26354,10.090706,82.210053,36837,63
040117,AREQUIPA,AREQUIPA,SACHACA,0.685521,5,1299.542561,77.55287,11.09516,78.529785,22541,64
150112,LIMA,LIMA,INDEPENDENCIA,0.685338,5,1443.328322,80.043469,8.817292,76.324286,217177,65
150514,LIMA,CAÑETE,SAN LUIS,0.685163,5,1422.698318,82.71533,8.299593,77.077495,13592,66
150118,LIMA,LIMA,LURIGANCHO,0.683195,5,1376.047242,78.608739,10.004202,74.490008,255144,67
180301,MOQUEGUA,ILO,ILO,0.683157,5,1346.786006,78.202981,10.671817,73.069677,68664,68
