UBIGEO,total_ccpp,ccpp_sin_cobertura,pct_sin_cobertura,ccpp_rurales_sin_cobertura,pct_rurales_sin_cobertura,ccpp_con_cobertura_parcial,operador_dominante
010101,35,0,0.0,0,0.0,6,ENTEL
010102,9,0,0.0,0,0.0,9,MOVISTAR
010103,28,9,32.14,9,33.33,19,MOVISTAR
010104,16,4,25.0,4,26.67,12,MOVISTAR
010105,43,9,20.93,9,21.95,34,MOVISTAR
010106,40,3,7.5,3,7.69,37,MOVISTAR
010107,12,0,0.0,0,0.0,12,MOVISTAR
010108,5,0,0.0,0,0.0,2,ENTEL
010109,174,0,0.0,0,0.0,62,MOVISTAR
010110,72,31,43.06,31,44.93,31,MOVISTAR
010111,33,0,0.0,0,0.0,22,ENTEL
010112,42,1,2.38,1,2.44,24,MOVISTAR
010113,79,0,0.0,0,0.0,59,MOVISTAR
010114,31,1,3.23,1,3.33,23,ENTEL
010115,20,2,10.0,2,10.53,18,ENTEL
010116,12,0,0.0,0,0.0,12,MOVISTAR
010117,39,1,2.56,1,2.63,38,MOVISTAR
010118,20,0,0.0,0,0.0,15,CLARO
010119,97,5,5.15,5,5.21,84,MOVISTAR
010120,13,5,38.46,5,41.67,8,ENTEL
010121,15,1,6.67,1,7.14,7,MOVISTAR
010201,28,1,3.57,1,3.85,5,MOVISTAR
010202,91,14,15.38,14,15.91,68,MOVISTAR
010203,40,1,2.5,1,2.63,6,ENTEL
010204,11,0,0.0,0,0.0,0,BITEL
010205,164,61,37.2,61,37.89,97,MOVISTAR
010206,35,0,0.0,0,0.0,11,ENTEL
010301,31,3,9.68,3,10.0,19,CLARO
010302,37,7,18.92,7,19.44,10,MOVISTAR
010303,9,1,11.11,1,12.5,5,CLARO
010304,30,0,0.0,0,0.0,15,MOVISTAR
010305,26,0,0.0,0,0.0,15,BITEL
010306,48,1,2.08,1,2.13,14,BITEL
010307,47,0,0.0,0,0.0,14,ENTEL
010308,14,0,0.0,0,0.0,7,ENTEL
010309,22,4,18.18,4,19.05,8,ENTEL
010310,16,5,31.25,5,33.33,8,ENTEL
010311,20,3,15.0,3,15.79,10,MOVISTAR
010312,55,10,18.18,10,19.23,25,MOVISTAR
010401,139,48,34.53,48,35.04,91,MOVISTAR
010402,82,65,79.27,65,80.25,17,MOVISTAR
010403,74,50,67.57,50,69.44,24,MOVISTAR
010501,32,0,0.0,0,0.0,12,BITEL
010502,41,1,2.44,1,2.56,9,MOVISTAR
010503,91,42,46.15,42,46.67,49,MOVISTAR
010504,20,1,5.0,1,5.26,18,MOVISTAR
010505,21,10,47.62,10,50.0,10,MOVISTAR
010506,20,0,0.0,0,0.0,8,MOVISTAR
010507,22,0,0.0,0,0.0,22,MOVISTAR
010508,11,0,0.0,0,0.0,2,MOVISTAR
010509,16,0,0.0,0,0.0,3,MOVISTAR
010510,5,0,0.0,0,0.0,4,BITEL
010511,19,1,5.26,1,5.56,18,CLARO
010512,57,0,0.0,0,0.0,12,ENTEL
010513,32,1,3.12,1,3.23,25,MOVISTAR
010514,91,11,12.09,11,12.22,79,MOVISTAR
010515,20,0,0.0,0,0.0,14,MOVISTAR
010516,4,0,0.0,0,0.0,2,CLARO
010517,29,3,10.34,3,10.71,21,MOVISTAR
010518,31,2,6.45,2,6.67,22,ENTEL
010519,49,0,0.0,0,0.0,29,MOVISTAR
010520,12,0,0.0,0,0.0,10,MOVISTAR
010521,103,12,11.65,12,11.76,52,MOVISTAR
010522,28,0,0.0,0,0.0,19,MOVISTAR
010523,8,0,0.0,0,0.0,0,BITEL
010601,32,1,3.12,1,3.23,10,ENTEL
010602,44,16,36.36,16,37.21,19,MOVISTAR
010603,12,2,16.67,2,20.0,10,MOVISTAR
010604,41,0,0.0,0,0.0,10,BITEL
010605,50,28,56.0,28,57.14,16,MOVISTAR
010606,30,1,3.33,1,3.45,10,BITEL
010607,13,0,0.0,0,0.0,5,ENTEL
010608,19,0,0.0,0,0.0,15,MOVISTAR
010609,79,18,22.78,18,23.08,39,MOVISTAR
010610,15,0,0.0,0,0.0,14,BITEL
010611,6,0,0.0,0,0.0,6,ENTEL
010612,26,17,65.38,17,68.0,9,MOVISTAR
010701,122,1,0.82,1,0.87,71,MOVISTAR
010702,141,4,2.84,4,3.03,31,MOVISTAR
010703,74,2,2.7,2,2.9,65,MOVISTAR
010704,26,0,0.0,0,0.0,15,MOVISTAR
010705,57,0,0.0,0,0.0,34,MOVISTAR
010706,78,1,1.28,1,1.33,46,MOVISTAR
010707,45,0,0.0,0,0.0,45,MOVISTAR
020101,168,14,8.33,14,8.59,74,MOVISTAR
020102,93,12,12.9,12,13.04,81,MOVISTAR
020103,19,0,0.0,0,0.0,16,CLARO
020104,128,73,57.03,73,57.48,55,MOVISTAR
020105,144,0,0.0,0,0.0,25,MOVISTAR
020106,36,0,0.0,0,0.0,8,BITEL
020107,87,0,0.0,0,0.0,61,ENTEL
020108,32,2,6.25,2,6.67,15,CLARO
020109,126,7,5.56,7,5.6,111,MOVISTAR
020110,46,0,0.0,0,0.0,40,MOVISTAR
020111,79,2,2.53,2,2.6,53,CLARO
020112,41,0,0.0,0,0.0,0,BITEL
020201,60,5,8.33,5,8.62,16,ENTEL
020202,117,45,38.46,45,38.79,67,CLARO
020203,15,0,0.0,0,0.0,8,MOVISTAR
020204,76,4,5.26,4,5.33,30,MOVISTAR
020205,46,2,4.35,2,4.44,18,MOVISTAR
020301,56,0,0.0,0,0.0,23,CLARO
020302,37,0,0.0,0,0.0,27,CLARO
020303,45,0,0.0,0,0.0,45,ENTEL
020304,43,0,0.0,0,0.0,15,CLARO
020305,66,0,0.0,0,0.0,66,MOVISTAR
020306,25,1,4.0,1,4.17,24,CLARO
020401,58,9,15.52,9,15.79,24,ENTEL
020402,70,1,1.43,1,1.45,22,CLARO
020501,64,0,0.0,0,0.0,33,CLARO
020502,10,0,0.0,0,0.0,10,ENTEL
020503,26,0,0.0,0,0.0,23,MOVISTAR
020504,121,33,27.27,33,27.73,82,CLARO
020505,67,4,5.97,4,6.06,45,MOVISTAR
020506,8,0,0.0,0,0.0,8,ENTEL
020507,38,1,2.63,1,2.7,26,MOVISTAR
020508,180,143,79.44,143,80.34,27,ENTEL
020509,107,65,60.75,63,61.76,31,CLARO
