UBIGEO,tiene_dependencia_policial,dependencias_operativas,dependencias_no_operativas,pct_operativas
010101,1,0,1,0.0
010103,1,0,1,0.0
010106,1,0,1,0.0
010107,1,0,1,0.0
010109,1,0,1,0.0
010110,1,0,1,0.0
010113,1,0,1,0.0
010114,1,0,1,0.0
010117,1,0,1,0.0
010118,1,0,1,0.0
010202,1,0,2,0.0
010203,1,0,1,0.0
010205,1,0,1,0.0
010206,1,0,1,0.0
010303,1,0,1,0.0
010306,1,0,2,0.0
010307,1,0,2,0.0
010311,1,0,1,0.0
010401,1,0,1,0.0
010502,1,0,1,0.0
010503,1,0,1,0.0
010504,1,0,1,0.0
010505,1,0,1,0.0
010506,1,0,1,0.0
010512,1,0,1,0.0
010513,1,0,1,0.0
010521,1,0,1,0.0
010522,1,0,1,0.0
010604,1,0,1,0.0
010605,1,0,1,0.0
010606,1,0,1,0.0
010609,1,0,1,0.0
010610,1,0,1,0.0
010702,1,0,1,0.0
010703,1,0,1,0.0
010704,1,0,1,0.0
010705,1,0,2,0.0
010706,1,0,1,0.0
020110,1,0,1,0.0
020111,1,0,1,0.0
020112,1,0,2,0.0
020505,1,0,2,0.0
020507,1,0,2,0.0
020508,1,0,1,0.0
020604,1,0,1,0.0
020804,1,0,1,0.0
021009,1,0,1,0.0
021016,1,0,1,0.0
021204,1,0,1,0.0
021206,1,0,1,0.0
021408,1,0,1,0.0
021503,1,0,1,0.0
021508,1,0,1,0.0
021509,1,0,1,0.0
021511,1,0,1,0.0
021703,1,0,1,0.0
021706,1,0,1,0.0
021801,1,0,2,0.0
021802,1,0,1,0.0
021804,1,0,1,0.0
022005,1,0,1,0.0
022008,1,0,1,0.0
030104,1,2,0,100.0
030105,1,1,0,100.0
030106,1,1,0,100.0
030108,1,1,0,100.0
030202,1,1,0,100.0
030204,1,1,0,100.0
030205,1,1,0,100.0
030207,1,1,0,100.0
030209,1,1,0,100.0
030210,1,1,0,100.0
030212,1,1,0,100.0
030215,1,1,0,100.0
030220,1,1,0,100.0
030305,1,1,0,100.0
030306,1,1,0,100.0
030406,1,1,0,100.0
030414,1,1,0,100.0
030415,1,1,0,100.0
