UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
010103,2,0,2,0.00%
010104,1,0,1,0.00%
010106,2,0,2,0.00%
010107,1,0,1,0.00%
010109,5,0,5,0.00%
010110,5,0,5,0.00%
010111,1,0,1,0.00%
010112,2,0,2,0.00%
010113,1,0,1,0.00%
010114,2,0,2,0.00%
010115,2,0,2,0.00%
010119,1,0,1,0.00%
010120,3,0,3,0.00%
010201,4,0,4,0.00%
010202,8,0,8,0.00%
010203,6,0,6,0.00%
010204,2,0,2,0.00%
010205,7,0,7,0.00%
010206,4,0,4,0.00%
010305,1,0,1,0.00%
010306,1,0,1,0.00%
010310,1,0,1,0.00%
010312,1,0,1,0.00%
010401,31,0,31,0.00%
010502,7,0,7,0.00%
010503,1,0,1,0.00%
010504,3,0,3,0.00%
010505,3,0,3,0.00%
010507,2,0,2,0.00%
010508,2,0,2,0.00%
010509,2,0,2,0.00%
010510,1,0,1,0.00%
010511,2,0,2,0.00%
010512,5,0,5,0.00%
010513,5,0,5,0.00%
010514,1,0,1,0.00%
010515,2,0,2,0.00%
010516,1,0,1,0.00%
010517,1,0,1,0.00%
010520,1,0,1,0.00%
010521,3,0,3,0.00%
010522,2,0,2,0.00%
010523,1,0,1,0.00%
010601,1,0,1,0.00%
010603,3,0,3,0.00%
010604,2,0,2,0.00%
010605,2,0,2,0.00%
010606,2,0,2,0.00%
010607,2,0,2,0.00%
010609,4,0,4,0.00%
010701,19,0,19,0.00%
010702,35,0,35,0.00%
010703,6,0,6,0.00%
010704,7,0,7,0.00%
010705,12,0,12,0.00%
010706,18,0,18,0.00%
010707,3,0,3,0.00%
020101,2,0,2,0.00%
020102,4,0,4,0.00%
020103,1,0,1,0.00%
020104,3,0,3,0.00%
020105,8,0,8,0.00%
020106,3,0,3,0.00%
020107,2,0,2,0.00%
020108,1,0,1,0.00%
020109,3,0,3,0.00%
020110,8,0,8,0.00%
020111,5,0,5,0.00%
020112,2,0,2,0.00%
020202,3,0,3,0.00%
020203,1,0,1,0.00%
020204,3,0,3,0.00%
020205,2,0,2,0.00%
020301,1,0,1,0.00%
020302,5,0,5,0.00%
020303,2,0,2,0.00%
020304,4,0,4,0.00%
020305,7,0,7,0.00%
020306,3,0,3,0.00%
020401,2,0,2,0.00%
020402,5,0,5,0.00%
020501,1,0,1,0.00%
020502,1,0,1,0.00%
020503,1,0,1,0.00%
020504,1,0,1,0.00%
020509,2,0,2,0.00%
020510,1,0,1,0.00%
020512,1,0,1,0.00%
020513,1,0,1,0.00%
020515,2,0,2,0.00%
020601,8,0,8,0.00%
020602,1,0,1,0.00%
020604,1,0,1,0.00%
020605,1,0,1,0.00%
020606,7,0,7,0.00%
020608,3,0,3,0.00%
020611,3,0,3,0.00%
020701,13,0,13,0.00%
020702,5,0,5,0.00%
020703,9,0,9,0.00%
020801,1,0,1,0.00%
020802,2,0,2,0.00%
020803,1,0,1,0.00%
020804,4,0,4,0.00%
020902,1,0,1,0.00%
020903,1,0,1,0.00%
020904,4,0,4,0.00%
020905,1,0,1,0.00%
020906,1,0,1,0.00%
020907,1,0,1,0.00%
021001,9,0,9,0.00%
021002,3,0,3,0.00%
021003,4,0,4,0.00%
021004,11,0,11,0.00%
021005,6,0,6,0.00%
021006,5,0,5,0.00%
021007,5,0,5,0.00%
021008,4,0,4,0.00%
021009,5,0,5,0.00%
021010,4,0,4,0.00%
021011,7,0,7,0.00%
021012,2,0,2,0.00%
021013,4,0,4,0.00%
021014,12,0,12,0.00%
021015,4,0,4,0.00%
021016,4,0,4,0.00%
021101,2,0,2,0.00%
021102,1,0,1,0.00%
021103,1,0,1,0.00%
021104,2,0,2,0.00%
021105,1,0,1,0.00%
021201,10,0,10,0.00%
021202,1,0,1,0.00%
021203,1,0,1,0.00%
021204,1,0,1,0.00%
021206,9,0,9,0.00%
021207,6,0,6,0.00%
021208,7,0,7,0.00%
021209,2,0,2,0.00%
021210,1,0,1,0.00%
021301,2,0,2,0.00%
021302,5,0,5,0.00%
021303,4,0,4,0.00%
021304,4,0,4,0.00%
021305,2,0,2,0.00%
021306,14,0,14,0.00%
021307,7,0,7,0.00%
021308,3,0,3,0.00%
021405,1,0,1,0.00%
021406,1,0,1,0.00%
021407,1,0,1,0.00%
021408,1,0,1,0.00%
021409,1,0,1,0.00%
021410,1,0,1,0.00%
021501,2,0,2,0.00%
021502,1,0,1,0.00%
021503,3,0,3,0.00%
021504,1,0,1,0.00%
021505,1,0,1,0.00%
021506,1,0,1,0.00%
021507,2,0,2,0.00%
021508,3,0,3,0.00%
021509,6,0,6,0.00%
021510,2,0,2,0.00%
021511,4,0,4,0.00%
021601,3,0,3,0.00%
021602,5,0,5,0.00%
021603,9,0,9,0.00%
021604,4,0,4,0.00%
021701,1,0,1,0.00%
021703,1,0,1,0.00%
021704,1,0,1,0.00%
021705,1,0,1,0.00%
021706,1,0,1,0.00%
021707,2,0,2,0.00%
021708,1,0,1,0.00%
021709,1,0,1,0.00%
021801,11,0,11,0.00%
021802,2,0,2,0.00%
021804,1,0,1,0.00%
021805,4,0,4,0.00%
021806,3,0,3,0.00%
021807,3,0,3,0.00%
021809,1,0,1,0.00%
021901,3,0,3,0.00%
021902,4,0,4,0.00%
021903,2,0,2,0.00%
021904,3,0,3,0.00%
021905,2,0,2,0.00%
021906,7,0,7,0.00%
021907,6,0,6,0.00%
021908,1,0,1,0.00%
021909,7,0,7,0.00%
021910,6,0,6,0.00%
022001,15,0,15,0.00%
022002,2,0,2,0.00%
022003,4,0,4,0.00%
022005,10,0,10,0.00%
022006,1,0,1,0.00%
022008,9,0,9,0.00%
030101,7,7,0,100.00%
030102,1,1,0,100.00%
030103,2,2,0,100.00%
030104,17,17,0,100.00%
030105,4,4,0,100.00%
030106,2,2,0,100.00%
030107,5,5,0,100.00%
030108,5,5,0,100.00%
030109,1,1,0,100.00%
030201,9,9,0,100.00%
030202,14,14,0,100.00%
030203,2,2,0,100.00%
030204,10,10,0,100.00%
030205,7,7,0,100.00%
030206,2,2,0,100.00%
030207,5,5,0,100.00%
030208,10,10,0,100.00%
030209,14,14,0,100.00%
030210,2,2,0,100.00%
030211,2,2,0,100.00%
030212,7,7,0,100.00%
030213,14,14,0,100.00%
030214,2,2,0,100.00%
030215,20,20,0,100.00%
030216,7,7,0,100.00%
030217,2,2,0,100.00%
