UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
010101,3,0,3,0,0.0,0,0,0,0
010102,1,0,1,0,0.0,0,0,0,0
010103,2,0,2,0,0.0,0,0,0,0
010104,1,0,1,0,0.0,0,0,0,0
010105,3,0,3,0,0.0,0,0,0,0
010106,1,0,1,0,0.0,0,0,0,0
010107,2,0,2,0,0.0,0,0,0,0
010108,1,0,1,0,0.0,0,0,0,0
010109,5,0,5,0,0.0,0,0,0,0
010110,3,0,3,0,0.0,0,0,0,0
010111,1,0,1,0,0.0,0,0,0,0
010112,1,0,1,0,0.0,0,0,0,0
010113,2,0,2,0,0.0,0,0,0,0
010114,1,0,1,0,0.0,0,0,0,0
010115,1,0,1,0,0.0,0,0,0,0
010116,2,0,2,0,0.0,0,0,0,0
010117,2,0,2,0,0.0,0,0,0,0
010118,1,0,1,0,0.0,0,0,0,0
010119,1,0,1,0,0.0,0,0,0,0
010120,2,0,2,0,0.0,0,0,0,0
010121,1,0,1,0,0.0,0,0,0,0
010201,5,0,5,0,0.0,0,0,0,0
010202,7,0,7,0,0.0,0,0,0,0
010203,6,0,6,0,0.0,0,0,0,0
010204,2,0,2,0,0.0,0,0,0,0
010205,6,0,6,0,0.0,0,0,0,0
010206,6,0,6,0,0.0,0,0,0,0
010302,1,0,1,0,0.0,0,0,0,0
010303,1,0,1,0,0.0,0,0,0,0
010305,2,0,2,0,0.0,0,0,0,0
010306,2,0,2,0,0.0,0,0,0,0
010307,1,0,1,0,0.0,0,0,0,0
010308,1,0,1,0,0.0,0,0,0,0
010309,1,0,1,0,0.0,0,0,0,0
010310,1,0,1,0,0.0,0,0,0,0
010311,4,0,4,0,0.0,0,0,0,0
010312,2,0,2,0,0.0,0,0,0,0
010401,26,0,26,0,0.0,0,0,0,0
010502,4,0,4,0,0.0,0,0,0,0
010503,1,0,1,0,0.0,0,0,0,0
010504,4,0,4,0,0.0,0,0,0,0
010505,2,0,2,0,0.0,0,0,0,0
010506,1,0,1,0,0.0,0,0,0,0
010507,2,0,2,0,0.0,0,0,0,0
010508,2,0,2,0,0.0,0,0,0,0
010509,4,0,4,0,0.0,0,0,0,0
010510,1,0,1,0,0.0,0,0,0,0
010511,1,0,1,0,0.0,0,0,0,0
010512,4,0,4,0,0.0,0,0,0,0
010513,5,0,5,0,0.0,0,0,0,0
010514,1,0,1,0,0.0,0,0,0,0
010515,2,0,2,0,0.0,0,0,0,0
010516,1,0,1,0,0.0,0,0,0,0
010517,1,0,1,0,0.0,0,0,0,0
010519,1,0,1,0,0.0,0,0,0,0
010520,2,0,2,0,0.0,0,0,0,0
010521,3,0,3,0,0.0,0,0,0,0
010522,3,0,3,0,0.0,0,0,0,0
010523,2,0,2,0,0.0,0,0,0,0
010601,1,0,1,0,0.0,0,0,0,0
010602,1,0,1,0,0.0,0,0,0,0
010603,2,0,2,0,0.0,0,0,0,0
010604,3,0,3,0,0.0,0,0,0,0
010605,1,0,1,0,0.0,0,0,0,0
010606,1,0,1,0,0.0,0,0,0,0
010607,1,0,1,0,0.0,0,0,0,0
010608,1,0,1,0,0.0,0,0,0,0
010609,3,0,3,0,0.0,0,0,0,0
010610,1,0,1,0,0.0,0,0,0,0
010611,1,0,1,0,0.0,0,0,0,0
010701,21,0,21,0,0.0,0,0,0,0
010702,30,0,30,0,0.0,0,0,0,0
010703,6,0,6,0,0.0,0,0,0,0
010704,7,0,7,0,0.0,0,0,0,0
010705,12,0,12,0,0.0,0,0,0,0
010706,14,0,14,0,0.0,0,0,0,0
010707,4,0,4,0,0.0,0,0,0,0
020101,2,0,2,0,0.0,0,0,0,0
020102,4,0,4,0,0.0,0,0,0,0
020103,1,0,1,0,0.0,0,0,0,0
020104,3,0,3,0,0.0,0,0,0,0
020105,10,0,10,0,0.0,0,0,0,0
020106,3,0,3,0,0.0,0,0,0,0
020107,2,0,2,0,0.0,0,0,0,0
020108,2,0,2,0,0.0,0,0,0,0
020109,2,0,2,0,0.0,0,0,0,0
020110,7,0,7,0,0.0,0,0,0,0
020111,5,0,5,0,0.0,0,0,0,0
020112,4,0,4,0,0.0,0,0,0,0
020202,2,0,2,0,0.0,0,0,0,0
020203,1,0,1,0,0.0,0,0,0,0
020204,2,0,2,0,0.0,0,0,0,0
020205,1,0,1,0,0.0,0,0,0,0
020301,1,0,1,0,0.0,0,0,0,0
020302,3,0,3,0,0.0,0,0,0,0
020303,1,0,1,0,0.0,0,0,0,0
020304,3,0,3,0,0.0,0,0,0,0
020305,5,0,5,0,0.0,0,0,0,0
020306,2,0,2,0,0.0,0,0,0,0
020401,2,0,2,0,0.0,0,0,0,0
020402,4,0,4,0,0.0,0,0,0,0
020501,1,0,1,0,0.0,0,0,0,0
020502,1,0,1,0,0.0,0,0,0,0
020503,1,0,1,0,0.0,0,0,0,0
020504,1,0,1,0,0.0,0,0,0,0
020505,3,0,3,0,0.0,0,0,0,0
020506,1,0,1,0,0.0,0,0,0,0
020507,1,0,1,0,0.0,0,0,0,0
020508,1,0,1,0,0.0,0,0,0,0
020509,2,0,2,0,0.0,0,0,0,0
020510,1,0,1,0,0.0,0,0,0,0
020511,1,0,1,0,0.0,0,0,0,0
020512,1,0,1,0,0.0,0,0,0,0
020513,1,0,1,0,0.0,0,0,0,0
020514,1,0,1,0,0.0,0,0,0,0
020515,2,0,2,0,0.0,0,0,0,0
020601,9,0,9,0,0.0,0,0,0,0
020602,1,0,1,0,0.0,0,0,0,0
020604,2,0,2,0,0.0,0,0,0,0
020605,1,0,1,0,0.0,0,0,0,0
020606,6,0,6,0,0.0,0,0,0,0
020608,3,0,3,0,0.0,0,0,0,0
020610,1,0,1,0,0.0,0,0,0,0
020611,4,0,4,0,0.0,0,0,0,0
020701,12,0,12,0,0.0,0,0,0,0
020702,4,0,4,0,0.0,0,0,0,0
020703,8,0,8,0,0.0,0,0,0,0
020801,1,0,1,0,0.0,0,0,0,0
020802,4,0,4,0,0.0,0,0,0,0
020803,3,0,3,0,0.0,0,0,0,0
020804,5,0,5,0,0.0,0,0,0,0
020902,1,0,1,0,0.0,0,0,0,0
020903,1,0,1,0,0.0,0,0,0,0
020904,4,0,4,0,0.0,0,0,0,0
020905,1,0,1,0,0.0,0,0,0,0
020906,1,0,1,0,0.0,0,0,0,0
020907,1,0,1,0,0.0,0,0,0,0
021001,7,0,7,0,0.0,0,0,0,0
021002,2,0,2,0,0.0,0,0,0,0
021003,3,0,3,0,0.0,0,0,0,0
021004,12,0,12,0,0.0,0,0,0,0
