UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
010101,2,0,2,0.00%
010102,1,0,1,0.00%
010103,1,0,1,0.00%
010104,1,0,1,0.00%
010105,3,0,3,0.00%
010106,1,0,1,0.00%
010107,1,0,1,0.00%
010108,1,0,1,0.00%
010109,5,0,5,0.00%
010110,1,0,1,0.00%
010111,1,0,1,0.00%
010112,1,0,1,0.00%
010113,2,0,2,0.00%
010114,1,0,1,0.00%
010115,1,0,1,0.00%
010116,2,0,2,0.00%
010117,2,0,2,0.00%
010118,1,0,1,0.00%
010119,1,0,1,0.00%
010120,2,0,2,0.00%
010121,1,0,1,0.00%
010201,5,0,5,0.00%
010202,7,0,7,0.00%
010203,5,0,5,0.00%
010204,2,0,2,0.00%
010205,4,0,4,0.00%
010206,6,0,6,0.00%
010302,1,0,1,0.00%
010303,1,0,1,0.00%
010305,2,0,2,0.00%
010306,2,0,2,0.00%
010307,1,0,1,0.00%
010308,1,0,1,0.00%
010309,1,0,1,0.00%
010310,1,0,1,0.00%
010311,4,0,4,0.00%
010312,2,0,2,0.00%
010401,10,0,10,0.00%
010502,4,0,4,0.00%
010503,1,0,1,0.00%
010504,4,0,4,0.00%
010505,1,0,1,0.00%
010506,1,0,1,0.00%
010507,2,0,2,0.00%
010508,2,0,2,0.00%
010509,4,0,4,0.00%
010510,1,0,1,0.00%
010511,1,0,1,0.00%
010512,4,0,4,0.00%
010513,4,0,4,0.00%
010514,1,0,1,0.00%
010515,1,0,1,0.00%
010516,1,0,1,0.00%
010517,1,0,1,0.00%
010519,1,0,1,0.00%
010520,2,0,2,0.00%
010521,3,0,3,0.00%
010522,2,0,2,0.00%
010523,2,0,2,0.00%
010602,1,0,1,0.00%
010603,1,0,1,0.00%
010604,3,0,3,0.00%
010605,1,0,1,0.00%
010606,1,0,1,0.00%
010607,1,0,1,0.00%
010608,1,0,1,0.00%
010609,2,0,2,0.00%
010610,1,0,1,0.00%
010611,1,0,1,0.00%
010701,18,0,18,0.00%
010702,25,0,25,0.00%
010703,4,0,4,0.00%
010704,7,0,7,0.00%
010705,10,0,10,0.00%
010706,8,0,8,0.00%
010707,3,0,3,0.00%
020101,2,0,2,0.00%
020102,3,0,3,0.00%
020103,1,0,1,0.00%
020104,2,0,2,0.00%
020105,10,0,10,0.00%
020106,2,0,2,0.00%
020107,1,0,1,0.00%
020108,2,0,2,0.00%
020109,1,0,1,0.00%
020110,2,0,2,0.00%
020111,2,0,2,0.00%
020112,4,0,4,0.00%
020202,2,0,2,0.00%
020203,1,0,1,0.00%
020204,2,0,2,0.00%
020205,1,0,1,0.00%
020302,2,0,2,0.00%
020303,1,0,1,0.00%
020304,1,0,1,0.00%
020305,4,0,4,0.00%
020306,2,0,2,0.00%
020402,2,0,2,0.00%
020502,1,0,1,0.00%
020504,1,0,1,0.00%
020505,2,0,2,0.00%
020506,1,0,1,0.00%
020507,1,0,1,0.00%
020508,1,0,1,0.00%
020509,1,0,1,0.00%
020510,1,0,1,0.00%
020511,1,0,1,0.00%
020512,1,0,1,0.00%
020513,1,0,1,0.00%
020514,1,0,1,0.00%
020515,1,0,1,0.00%
020601,5,0,5,0.00%
020605,1,0,1,0.00%
020606,4,0,4,0.00%
020611,4,0,4,0.00%
020701,4,0,4,0.00%
020702,2,0,2,0.00%
020703,5,0,5,0.00%
020802,3,0,3,0.00%
020803,2,0,2,0.00%
020804,2,0,2,0.00%
020902,1,0,1,0.00%
020903,1,0,1,0.00%
020904,2,0,2,0.00%
020907,1,0,1,0.00%
021001,4,0,4,0.00%
021002,1,0,1,0.00%
021003,2,0,2,0.00%
021004,3,0,3,0.00%
021005,1,0,1,0.00%
021006,2,0,2,0.00%
021007,2,0,2,0.00%
021008,2,0,2,0.00%
021009,2,0,2,0.00%
021010,2,0,2,0.00%
021011,3,0,3,0.00%
021012,1,0,1,0.00%
021013,1,0,1,0.00%
