UBIGEO,municipio_tiene_internet,tipo_conexion,computadoras_con_internet,usa_siaf,usa_siga,indice_capacidad_digital_municipal,fuente
010101,1,Fibra óptica,162,0,0,1,provincial_fallback
010102,1,Satelital,5,0,0,1,distrital
010103,1,Satelital,4,0,0,1,distrital
010104,1,Satelital,1,0,0,1,distrital
010105,1,Wi-fi,3,0,0,1,distrital
010106,1,Satelital,4,0,0,1,distrital
010107,1,Wi-fi,2,0,0,1,distrital
010108,0,Sin conexión,,0,0,0,distrital
010109,1,Móvil/USB,8,0,0,1,distrital
010110,1,Wi-fi,7,0,0,1,distrital
010111,1,Wi-fi,6,0,0,1,distrital
010112,1,Wi-fi,3,0,0,1,distrital
010113,1,Satelital,3,0,0,1,distrital
010114,1,Wi-fi,4,0,0,1,distrital
010115,1,ADSL/DSL,3,0,0,1,distrital
010116,1,Fibra óptica,2,0,0,1,distrital
010117,1,Satelital,3,0,0,1,distrital
010118,1,Wi-fi,3,0,0,1,distrital
010119,1,Fibra óptica,3,0,0,1,distrital
010120,1,Satelital,5,0,0,1,distrital
010121,0,Sin conexión,,0,0,0,distrital
010201,1,Fibra óptica,119,0,0,1,provincial_fallback
010202,1,Satelital,26,0,0,1,distrital
010203,1,Wi-fi,9,0,0,1,distrital
010204,1,Fibra óptica,9,0,0,1,distrital
010205,1,ADSL/DSL,92,0,0,1,distrital
010206,1,Wi-fi,20,0,0,1,distrital
010301,1,Wi-fi,24,0,0,1,provincial_fallback
010302,1,Wi-fi,4,0,0,1,distrital
010303,1,Fibra óptica,3,0,0,1,distrital
010304,0,Sin conexión,,0,0,0,distrital
010305,1,Satelital,4,0,0,1,distrital
010306,1,Fibra óptica,23,0,0,1,distrital
010307,1,Fibra óptica,19,0,0,1,distrital
010308,0,Sin conexión,,0,0,0,distrital
010309,1,Satelital,3,0,0,1,distrital
010310,1,Wi-fi,4,0,0,1,distrital
010311,1,Wi-fi,1,0,0,1,distrital
010312,1,Fibra óptica,16,0,0,1,distrital
010401,1,Satelital,120,0,0,1,provincial_fallback
010402,1,Satelital,27,0,0,1,distrital
010403,1,Wi-fi,54,0,0,1,distrital
010501,1,Fibra óptica,53,0,0,1,provincial_fallback
010502,1,Wi-fi,8,0,0,1,distrital
010503,1,Satelital,2,0,0,1,distrital
010504,1,Satelital,6,0,0,1,distrital
010505,1,Wi-fi,7,0,0,1,distrital
010506,1,ADSL/DSL,4,0,0,1,distrital
010507,1,Wi-fi,7,0,0,1,distrital
010508,1,Satelital,6,0,0,1,distrital
010509,1,Móvil/USB,10,0,0,1,distrital
010510,1,Wi-fi,3,0,0,1,distrital
010511,1,Wi-fi,5,0,0,1,distrital
010512,1,Fibra óptica,10,0,0,1,distrital
010513,1,Satelital,1,0,0,1,distrital
010514,1,Satelital,8,0,0,1,distrital
010515,1,Satelital,4,0,0,1,distrital
010516,1,Satelital,5,0,0,1,distrital
010517,1,Fibra óptica,2,0,0,1,distrital
010518,1,Wi-fi,3,0,0,1,distrital
010519,1,Satelital,4,0,0,1,distrital
010520,1,Satelital,5,0,0,1,distrital
010521,1,Satelital,7,0,0,1,distrital
010522,1,Wi-fi,3,0,0,1,distrital
010523,1,Fibra óptica,5,0,0,1,distrital
010601,1,Wi-fi,34,0,0,1,provincial_fallback
010602,1,Satelital,4,0,0,1,distrital
010603,1,Wi-fi,5,0,0,1,distrital
