UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
150114,LIMA,LIMA,LA MOLINA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.845217,5,1939.467209,80.647669,14.70027,0.845217
150116,LIMA,LIMA,LINCE,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.842428,5,2037.326546,80.467942,12.702343,0.842428
150113,LIMA,LIMA,JESUS MARIA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.83719,5,1989.773896,80.41921,13.037629,0.83719
150120,LIMA,LIMA,MAGDALENA DEL MAR,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.833929,5,1986.267298,80.461971,12.999281,0.833929
150121,LIMA,LIMA,PUEBLO LIBRE,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.833695,5,1936.245752,80.471,13.182552,0.833695
150122,LIMA,LIMA,MIRAFLORES,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.83264,5,1925.786897,80.31446,13.965074,0.83264
150130,LIMA,LIMA,SAN BORJA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.823616,5,1867.853206,80.641345,13.635913,0.823616
150136,LIMA,LIMA,SAN MIGUEL,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.822401,5,1966.554093,80.326177,12.776359,0.822401
150104,LIMA,LIMA,BARRANCO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.820764,5,1956.551731,80.149769,12.592455,0.820764
150141,LIMA,LIMA,SURQUILLO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.653846,4,0.817114,5,1940.453432,80.217404,12.295076,0.817114
150105,LIMA,LIMA,BREÑA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.812114,5,1868.666016,79.979044,12.905725,0.812114
150140,LIMA,LIMA,SANTIAGO DE SURCO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.801757,5,1766.148806,80.484873,13.156716,0.801757
150134,LIMA,LIMA,SAN LUIS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.793258,5,1769.655751,81.516311,11.778593,0.793258
150131,LIMA,LIMA,SAN ISIDRO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.788832,5,1641.655293,80.35414,13.858206,0.788832
180303,MOQUEGUA,ILO,PACOCHA,33.33,0.3333,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.63461,4,0.767961,5,1718.803526,78.542827,12.908522,0.767961
040126,AREQUIPA,AREQUIPA,YANAHUARA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.765344,5,1507.422866,78.622655,13.790439,0.765344
150101,LIMA,LIMA,LIMA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.764685,5,1633.787715,80.236821,12.014176,0.764685
040101,AREQUIPA,AREQUIPA,AREQUIPA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.762167,5,1538.109987,78.825498,13.192212,0.762167
150117,LIMA,LIMA,LOS OLIVOS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.758463,5,1628.566115,80.519223,11.33839,0.758463
150108,LIMA,LIMA,CHORRILLOS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.758355,5,1662.777147,79.825956,11.463514,0.758355
130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.753164,5,1599.636267,80.003126,11.742569,0.753164
070105,CALLAO,CALLAO,LA PUNTA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.752697,5,1556.718249,81.225202,12.939153,0.752697
150705,LIMA,HUAROCHIRI,CHICLA,51.43,0.5143,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,0.0,,100.0,1.0,0.35,0.31077,2,0.74811,5,1975.043673,71.690315,11.546293,0.74811
150138,LIMA,LIMA,SANTA MARIA DEL MAR,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.74666,5,1849.18807,79.0591,10.538937,0.74666
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.745374,5,1448.531794,79.458973,12.665196,0.745374
180106,MOQUEGUA,MARISCAL NIETO,TORATA,42.55,0.4255,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,0.0,,100.0,1.0,0.4,0.346969,2,0.743778,5,1843.898839,76.502682,10.365289,0.743778
150135,LIMA,LIMA,SAN MARTIN DE PORRES,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.741998,5,1554.686897,80.318223,11.084204,0.741998
150107,LIMA,LIMA,CHACLACAYO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.741054,5,1539.763506,80.728737,11.206344,0.741054
070104,CALLAO,CALLAO,LA PERLA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.739658,5,1455.248011,81.923121,11.863813,0.739658
080108,CUSCO,CUSCO,WANCHAQ,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.738901,5,1463.259092,77.128704,13.123553,0.738901
