NOM_DPTO,n_distritos,pct_sin_cobertura_prom,pct_escuelas_op_prom,s1_prom,pct_salud_op_prom,s2_prom,calidad_mun_prom,s3_prom,pct_con_policia,s4_prom,ivdc_prom,ivdc_max,n_q5,idh_prom,educ_prom,salud_prom,ingreso_prom,pct_q5
UCAYALI,17,45.406,0.0,1.0,0.0,1.0,3.294,0.341,0.0,1.0,0.733,0.938,10,0.39,6.674,72.662,579.668,58.8
LORETO,53,61.711,11.944,0.881,14.96,0.85,2.679,0.464,22.6,0.887,0.706,1.0,38,0.347,5.979,73.399,501.647,71.7
AREQUIPA,109,24.243,0.0,1.0,0.0,1.0,3.468,0.306,39.4,1.0,0.683,0.944,52,0.538,8.236,79.44,901.159,47.7
AMAZONAS,84,10.987,0.0,1.0,0.0,1.0,2.976,0.405,45.2,1.0,0.677,0.857,29,0.371,5.48,71.263,564.898,34.5
MADRE DE DIOS,11,37.549,0.0,1.0,0.0,1.0,4.455,0.109,0.0,1.0,0.667,0.868,2,0.582,8.2,76.574,1186.167,18.2
HUANUCO,84,15.624,0.0,1.0,0.0,1.0,3.595,0.281,14.3,1.0,0.661,0.84,30,0.352,5.347,73.104,474.225,35.7
ANCASH,166,9.584,0.0,1.0,0.0,1.0,3.319,0.336,14.5,1.0,0.66,0.858,51,0.371,6.163,73.921,476.515,30.7
SAN MARTIN,77,12.237,0.0,1.0,0.0,1.0,3.74,0.252,18.2,1.0,0.649,0.805,20,0.423,5.979,73.274,707.981,26.0
LA LIBERTAD,83,5.212,0.0,1.0,0.0,1.0,3.434,0.313,32.5,1.0,0.648,0.82,23,0.379,5.874,76.99,543.629,27.7
CAJAMARCA,127,3.021,0.0,1.0,0.0,1.0,3.598,0.28,55.1,1.0,0.637,0.773,21,0.326,4.873,73.766,411.846,16.5
PASCO,29,21.046,0.0,1.0,0.0,1.0,4.483,0.103,48.3,1.0,0.634,0.763,4,0.446,7.95,73.163,586.325,13.8
TUMBES,13,11.65,0.0,1.0,0.0,1.0,4.154,0.169,38.5,1.0,0.631,0.731,3,0.529,8.215,73.873,876.569,23.1
PIURA,65,5.557,0.0,1.0,0.0,1.0,3.862,0.228,24.6,1.0,0.631,0.835,6,0.416,6.383,74.674,585.829,9.2
CALLAO,7,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.577,0.577,0,0.688,10.855,81.006,1305.758,0.0
ICA,43,11.97,16.667,0.833,30.039,0.7,4.349,0.13,16.3,0.884,0.507,0.731,5,0.576,9.298,78.689,917.228,11.6
JUNIN,124,13.667,32.522,0.675,39.696,0.603,3.774,0.245,8.9,0.944,0.491,0.817,14,0.452,7.464,73.032,649.805,11.3
PUNO,110,27.001,39.993,0.6,40.122,0.599,3.727,0.255,30.9,0.782,0.465,0.95,16,0.34,6.375,71.849,347.012,14.5
TACNA,28,26.651,57.143,0.429,41.071,0.589,3.357,0.329,35.7,0.75,0.438,0.951,5,0.488,8.428,75.44,722.572,17.9
LIMA,171,15.404,66.082,0.339,67.251,0.327,3.591,0.282,11.1,0.889,0.366,0.828,2,0.541,8.844,77.314,946.929,1.2
AYACUCHO,119,18.082,84.034,0.16,86.555,0.134,3.471,0.306,17.6,0.824,0.288,0.863,2,0.353,5.865,71.78,436.346,1.7
HUANCAVELICA,100,14.044,87.0,0.13,90.0,0.1,3.1,0.38,23.0,0.77,0.277,0.691,0,0.335,5.767,68.394,416.719,0.0
CUSCO,112,16.373,77.679,0.223,74.107,0.259,4.339,0.132,35.7,0.643,0.254,0.772,2,0.365,5.965,69.736,465.397,1.8
MOQUEGUA,20,33.927,84.875,0.151,80.834,0.192,3.55,0.29,45.0,0.55,0.248,0.635,0,0.577,8.747,78.264,1011.38,0.0
LAMBAYEQUE,38,1.285,92.105,0.079,81.579,0.184,4.553,0.089,34.2,0.658,0.195,0.654,0,0.483,7.61,77.81,685.24,0.0
APURIMAC,84,14.474,95.238,0.048,97.619,0.024,3.595,0.281,39.3,0.607,0.194,0.672,0,0.321,5.561,68.558,349.871,0.0
