COD_DPTO,NOM_DPTO,COD_PROV,NOM_PROV,COD_DIST,NOM_DIST,UBIGEO,DIST,POB_HAB,POB_RANK,IDH,IDH_RANK,EVN_ANNOS,EVN_RANK,PES_CO_POR,PESCO_RANK,AE_ANNOS,AE_RANK,IFP_NS_MES,IFP_RANK,VN_EVN,VN_PES_CO,VN_AE,VN_LEDUC,VN_IFP,ESTRATIF,COD_QUINT,QUINTIL,FUENTE,geom_type,centroid_lon,centroid_lat,area_geodesic_km2,perimeter_geodesic_km
03,APURIMAC,0302,ANDAHUAYLAS,030220,JOSE MARIA ARGUEDAS,030220,Josémaría Arguedas,4406,887.0,0.365098,1046,80.867039,126.0,64.201942,651.0,4.197692,1687.0,426.304264,1102.0,0.931117,0.642019,0.168852,0.329251,0.158744,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.323956,-13.809244,175.2363,62.4959
03,APURIMAC,0304,AYMARAES,030415,TINTAY,030415,Tintay,2673,1152.0,0.266575,1605,68.550619,1591.0,49.783578,1236.0,4.479963,1618.0,244.878061,1568.0,0.725844,0.497836,0.18873,0.306523,0.085143,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.134474,-13.903486,142.3935,77.1015
03,APURIMAC,0304,AYMARAES,030409,LUCRE,030409,Lucre,1756,1375.0,0.272963,1575,72.754536,1135.0,43.511525,1436.0,3.358261,1828.0,323.260911,1366.0,0.795909,0.435115,0.109737,0.218513,0.116942,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.245445,-13.915866,103.7658,60.5833
03,APURIMAC,0302,ANDAHUAYLAS,030214,SAN MIGUEL DE CHACCRAMPA,030214,San Miguel De Chaccrampa,1849,1349.0,0.23915,1704,71.044826,1374.0,64.621563,631.0,3.367956,1827.0,199.469115,1679.0,0.767414,0.646216,0.110419,0.267123,0.066722,0.0912 - 0.2420,5.0,Quinto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.60301,-13.962145,84.9291,44.0892
03,APURIMAC,0302,ANDAHUAYLAS,030206,HUAYANA,030206,Huayana,861,1654.0,0.286342,1508,78.911945,294.0,58.341724,886.0,4.946873,1431.0,214.124509,1647.0,0.898532,0.583417,0.221611,0.359571,0.072667,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.550953,-13.989582,95.3195,61.6107
03,APURIMAC,0304,AYMARAES,030404,CHAPIMARCA,030404,Chapimarca,1794,1362.0,0.26966,1592,63.86696,1788.0,72.189575,310.0,4.545555,1588.0,234.722808,1599.0,0.647783,0.721896,0.193349,0.373601,0.081023,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.086766,-14.007797,204.0597,69.0337
03,APURIMAC,0304,AYMARAES,030405,COLCABAMBA,030405,Colcabamba,866,1653.0,0.321298,1319,68.111203,1626.0,82.643642,33.0,5.084237,1377.0,295.269558,1440.0,0.71852,0.826436,0.231284,0.437198,0.105586,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.258258,-13.976925,91.7707,69.0025
03,APURIMAC,0303,ANTABAMBA,030304,JUAN ESPINOZA MEDRANO,030304,Juan Espinoza Medrano,1782,1366.0,0.292207,1470,54.579296,1870.0,51.820179,1163.0,5.921433,1069.0,356.680369,1280.0,0.492988,0.518202,0.290242,0.387819,0.130499,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-72.908356,-14.558566,632.3591,132.1848
03,APURIMAC,0304,AYMARAES,030406,COTARUSE,030406,Cotaruse,4508,879.0,0.366407,1041,64.984618,1754.0,49.216267,1261.0,6.514538,866.0,485.130473,973.0,0.66641,0.492163,0.33201,0.404231,0.182609,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-73.295079,-14.588865,1735.3043,260.3078
03,APURIMAC,0303,ANTABAMBA,030301,ANTABAMBA,030301,Antabamba,2703,1149.0,0.318791,1334,54.298792,1871.0,38.121627,1577.0,6.754384,793.0,483.437165,976.0,0.488313,0.381216,0.3489,0.364701,0.181922,0.2420 - 0.3928,4.0,Cuarto Quintil,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",Polygon,-72.750102,-14.517959,602.5233,130.5808
