orden,variable,nombre_largo,descripcion,categoria_analitica,tipo_pandas,tipo_shapefile_dbf,n_registros,n_nulos,n_unicos,valor_minimo,valor_maximo,ejemplo_valor,observaciones_uso
1,COD_DPTO,Código de departamento,Código de 2 dígitos del departamento. Mantener como texto para no perder ceros iniciales.,Identificador territorial,object,str:2,1874,0,25,,,03,Mantener como texto; no convertir a número.
2,NOM_DPTO,Nombre de departamento,Nombre del departamento.,Identificador territorial,object,str:50,1874,0,25,,,APURIMAC,
3,COD_PROV,Código de provincia,Código de 4 dígitos de la provincia. Mantener como texto.,Identificador territorial,object,str:4,1874,0,196,,,0302,Mantener como texto; no convertir a número.
4,NOM_PROV,Nombre de provincia,Nombre de la provincia.,Identificador territorial,object,str:100,1874,0,196,,,ANDAHUAYLAS,
5,COD_DIST,Código de distrito,Código de 6 dígitos del distrito.,Identificador territorial,object,str:6,1874,0,1874,,,030220,Mantener como texto; no convertir a número.
6,NOM_DIST,Nombre de distrito,Nombre oficial del distrito en mayúsculas.,Identificador territorial,object,str:150,1874,0,1721,,,JOSE MARIA ARGUEDAS,
7,UBIGEO,UBIGEO,Código geográfico INEI de 6 dígitos para el distrito. Es la llave principal recomendada para cruces.,Llave territorial,object,str:254,1874,0,1874,,,030220,Mantener como texto; no convertir a número.
8,DIST,Distrito,Nombre del distrito con capitalización tipo título.,Identificador territorial,object,str:254,1874,0,1721,,,Josémaría Arguedas,
9,POB_HAB,Población en habitantes,Población distrital expresada en número de habitantes.,Variable demográfica,int64,int:11,1874,0,1747,73,1150285,4406,
10,POB_RANK,Ranking de población,Posición relativa del distrito según población. 1 corresponde al mayor valor según validación del dataset.,Ranking,float64,float:32.10,1874,0,1874,1.0,1874.0,887.0,
11,IDH,Índice de Desarrollo Humano,Índice sintético de desarrollo humano distrital. Valores más altos indican mayor desarrollo humano relativo.,Indicador principal,float64,float:32.10,1874,0,1870,0.091195,0.845217,0.365098,
12,IDH_RANK,Ranking de IDH,Posición relativa del distrito según IDH. 1 corresponde al mayor IDH.,Ranking,int64,int:11,1874,0,1874,1,1874,1046,
13,EVN_ANNOS,Esperanza de vida al nacer - años,Años esperados de vida al nacer.,Componente salud del IDH,float64,float:32.10,1874,0,1866,50.557694,85.0,80.867039,
14,EVN_RANK,Ranking de esperanza de vida al nacer,Posición relativa del distrito según esperanza de vida al nacer. 1 corresponde al mayor valor.,Ranking,float64,float:32.10,1874,0,1874,1.0,1874.0,126.0,
