variable,significado,tipo_dbf,tipo_interpretado,longitud_dbf,decimales_dbf,nulos,no_nulos,unicos,minimo,maximo,ejemplo,observaciones
NUM,Número correlativo del registro dentro de la capa descargada.,F,numérico decimal,19,11,0,108115,108115,1,99999,1,
CLASIFIC,Clasificación del centro poblado: urbano o rural.,C,texto,10,0,0,108115,2,RURAL,URBANO,URBANO,
LONG_X,Longitud geográfica del centro poblado en grados decimales.,F,numérico decimal,19,11,0,108115,102188,-68.65902,-81.3057,-77.8725,Coordenada declarada en los atributos; se contrastó contra la geometría Point del shapefile.
LAT_Y,Latitud geográfica del centro poblado en grados decimales.,F,numérico decimal,19,11,0,108115,102853,-0.09567,-9.99982,-6.22941,Coordenada declarada en los atributos; se contrastó contra la geometría Point del shapefile.
COB_BIT,Indicador de cobertura móvil del operador Bitel en el centro poblado. Valores esperados: SI/NO.,C,texto,6,0,0,108115,2,NO,SI,SI,Variable categórica de cobertura móvil por operador o cobertura total.
COB_CLARO,Indicador de cobertura móvil del operador Claro en el centro poblado. Valores esperados: SI/NO.,C,texto,8,0,0,108115,2,NO,SI,SI,Variable categórica de cobertura móvil por operador o cobertura total.
COB_ENTEL,Indicador de cobertura móvil del operador Entel en el centro poblado. Valores esperados: SI/NO.,C,texto,8,0,0,108115,2,NO,SI,SI,Variable categórica de cobertura móvil por operador o cobertura total.
COB_MOVIS,Indicador de cobertura móvil del operador Movistar en el centro poblado. Valores esperados: SI/NO.,C,texto,8,0,0,108115,2,NO,SI,SI,Variable categórica de cobertura móvil por operador o cobertura total.
COB_TOTAL,Indicador general de cobertura móvil en el centro poblado. Usualmente SI cuando al menos un operador registra cobertura.,C,texto,8,0,0,108115,2,NO,SI,SI,Variable categórica de cobertura móvil por operador o cobertura total.
COD_DPTO,Código del departamento. En esta descarga aparece vacío.,C,texto,2,0,108115,0,0,,,,Campo vacío en todos los registros de esta descarga. Mantener como texto para preservar ceros iniciales si en futuras versiones viene poblado.
NOM_DPTO,Nombre del departamento.,C,texto,50,0,0,108115,25,AMAZONAS,UCAYALI,AMAZONAS,
COD_PROV,Código de provincia. En esta descarga aparece vacío.,C,texto,4,0,108115,0,0,,,,Campo vacío en todos los registros de esta descarga. Mantener como texto para preservar ceros iniciales si en futuras versiones viene poblado.
NOM_PROV,Nombre de provincia.,C,texto,50,0,0,108115,196,ABANCAY,ZARUMILLA,CHACHAPOYAS,
