NOM_DPTO,centros_poblados,urbanos,rurales,con_cobertura_total,sin_cobertura_total,pct_con_cobertura_total,bitel_si,claro_si,entel_si,movistar_si
AMAZONAS,3527,133,3394,3006,521,85.23,1611,1696,2105,2835
ANCASH,8334,287,8047,7212,1122,86.54,4324,4719,5109,6195
APURIMAC,4566,141,4425,3686,880,80.73,1760,2344,2948,3420
AREQUIPA,6030,220,5810,3273,2757,54.28,1401,2055,2038,2500
AYACUCHO,8379,235,8144,5931,2448,70.78,2943,3395,4746,5546
CAJAMARCA,6879,194,6685,6669,210,96.95,4594,4961,4432,6113
CALLAO,7,7,0,7,0,100.0,7,7,7,7
CUSCO,10494,220,10274,7745,2749,73.8,3937,4781,5983,6900
HUANCAVELICA,7387,152,7235,5865,1522,79.4,2002,3699,4710,5548
HUANUCO,7089,153,6936,5582,1507,78.74,3048,3669,3351,4950
ICA,1610,114,1496,1368,242,84.97,1067,1156,1269,1140
JUNIN,5033,228,4805,3617,1416,71.87,1915,2107,2509,2805
LA LIBERTAD,3977,202,3775,3725,252,93.66,2257,2799,2451,3378
LAMBAYEQUE,1634,91,1543,1568,66,95.96,1406,1273,1301,1438
LIMA,6079,389,5690,4699,1380,77.3,1781,3961,2918,3824
LORETO,2694,94,2600,1144,1550,42.46,569,343,336,939
MADRE DE DIOS,358,23,335,237,121,66.2,158,150,144,184
MOQUEGUA,1547,50,1497,776,771,50.16,314,567,473,651
PASCO,3177,79,3098,2296,881,72.27,968,1301,1292,1976
PIURA,3072,258,2814,2844,228,92.58,2216,1994,1992,2514
PUNO,10544,164,10380,6982,3562,66.22,4249,4681,4020,4937
SAN MARTIN,3287,184,3103,2804,483,85.31,2139,1589,1902,2463
TACNA,1038,64,974,619,419,59.63,471,409,452,513
TUMBES,204,40,164,170,34,83.33,151,150,119,126
UCAYALI,1169,32,1137,575,594,49.19,368,242,245,424
