OBJECTID,COD_DPTO,NOM_DPTO,COD_PROV,NOM_PROV,COD_DIST,NOM_DIST,COD_CCPP,NOM_CCPP,IDCCPP,REGION,PROVINCIA,DISTRITO,LOCALIDAD,PROYECTO,ESTADO,COD_ESTADO,NOM_COMISA,CONCATENAR,FUENTE,UBIGEO,XCENT,YCENT,geom_type,geom_lon,geom_lat,coord_match_xcent,coord_match_ycent,geometry_wkt,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
1.0,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040001,CURAHUASI,0301040001,APURIMAC,ABANCAY,CURAHUASI,CURAHUASI,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP SECTORIAL CURAHUASI - ABANCAY,APURIMACABANCAYCURAHUASI,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.696012,-13.541302,Point,-72.696012,-13.541302,True,True,POINT (-72.696012 -13.541302),-72.696012,-13.541302,-72.696012,-13.541302
2.0,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040001,CURAHUASI,0301040001,APURIMAC,ABANCAY,CURAHUASI,CURAHUASI,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP PROT. CARRETERAS CURAHUASI,APURIMACABANCAYCURAHUASI,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.696012,-13.541302,Point,-72.696012,-13.541302,True,True,POINT (-72.696012 -13.541302),-72.696012,-13.541302,-72.696012,-13.541302
3.0,03,APURIMAC,0301,ABANCAY,030105,HUANIPACA,0301050001,HUANIPACA,0301050001,APURIMAC,ABANCAY,HUANIPACA,HUANIPACA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP HUANIPACA,APURIMACABANCAYHUANIPACA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030105,-72.933345,-13.492353,Point,-72.933345,-13.492353,True,True,POINT (-72.933345 -13.492353),-72.933345,-13.492353,-72.933345,-13.492353
4.0,03,APURIMAC,0301,ABANCAY,030106,LAMBRAMA,0301060001,LAMBRAMA,0301060001,APURIMAC,ABANCAY,LAMBRAMA,LAMBRAMA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP LAMBRAMA,APURIMACABANCAYLAMBRAMA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030106,-72.769735,-13.870951,Point,-72.769735,-13.870951,True,True,POINT (-72.769735 -13.870951),-72.769735,-13.870951,-72.769735,-13.870951
5.0,03,APURIMAC,0301,ABANCAY,030108,SAN PEDRO DE CACHORA,0301080001,CACHORA,0301080001,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,CACHORA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP CACHORA,APURIMACABANCAYSAN PEDRO DE CACHORA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030108,-72.814146,-13.514032,Point,-72.814146,-13.514032,True,True,POINT (-72.814146 -13.514032),-72.814146,-13.514032,-72.814146,-13.514032
6.0,03,APURIMAC,0302,ANDAHUAYLAS,030202,ANDARAPA,0302020001,ANDARAPA,0302020001,APURIMAC,ANDAHUAYLAS,ANDARAPA,ANDARAPA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP ANDARAPA,APURIMACANDAHUAYLASANDARAPA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030202,-73.365812,-13.527969,Point,-73.365812,-13.527969,True,True,POINT (-73.365812 -13.527969),-73.365812,-13.527969,-73.365812,-13.527969
7.0,03,APURIMAC,0302,ANDAHUAYLAS,030204,HUANCARAMA,0302040001,HUANCARAMA,0302040001,APURIMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP SECTORIAL HUANCARAMA,APURIMACANDAHUAYLASHUANCARAMA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030204,-73.085551,-13.644837,Point,-73.085551,-13.644837,True,True,POINT (-73.085551 -13.644837),-73.085551,-13.644837,-73.085551,-13.644837
8.0,03,APURIMAC,0302,ANDAHUAYLAS,030205,HUANCARAY,0302050001,HUANCARAY,0302050001,APURIMAC,ANDAHUAYLAS,HUANCARAY,HUANCARAY,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP SECTORIAL HUANCARAY,APURIMACANDAHUAYLASHUANCARAY,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030205,-73.527373,-13.757304,Point,-73.527373,-13.757304,True,True,POINT (-73.527373 -13.757304),-73.527373,-13.757304,-73.527373,-13.757304
9.0,03,APURIMAC,0302,ANDAHUAYLAS,030220,JOSE MARIA ARGUEDAS,0302200001,HUANCABAMBA,0302200001,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,HUANCABAMBA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP HUANCABAMBA,APURIMACANDAHUAYLASJOSE MARIA ARGUEDAS,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030220,-73.35056,-13.734157,Point,-73.35056,-13.734157,True,True,POINT (-73.35056 -13.734157),-73.35056,-13.734157,-73.35056,-13.734157
10.0,03,APURIMAC,0302,ANDAHUAYLAS,030207,KISHUARA,0302070001,KISHUARA,0302070001,APURIMAC,ANDAHUAYLAS,KISHUARA,KISHUARA,[REGIONAL] - [APURIMAC],OPERATIVO,1.0,CPNP KISHUARA,APURIMACANDAHUAYLASKISHUARA,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030207,-73.118732,-13.691173,Point,-73.118732,-13.691173,True,True,POINT (-73.118732 -13.691173),-73.118732,-13.691173,-73.118732,-13.691173
