NOM_DPTO,dependencias_total,dependencias_operativas,dependencias_no_operativas,provincias_con_dependencia,distritos_con_dependencia,pct_operativas
CAJAMARCA,76,0,76,13,70,0.0
AREQUIPA,53,0,53,7,43,0.0
CUSCO,44,44,0,11,40,100.0
AMAZONAS,42,0,42,7,38,0.0
PUNO,38,25,13,13,34,65.79
APURIMAC,34,34,0,7,33,100.0
LA LIBERTAD,30,0,30,11,27,0.0
ANCASH,28,0,28,11,24,0.0
PIURA,27,0,27,7,16,0.0
HUANCAVELICA,23,23,0,7,23,100.0
AYACUCHO,21,21,0,10,21,100.0
LIMA,20,20,0,7,19,100.0
LAMBAYEQUE,18,18,0,3,13,100.0
LORETO,18,7,11,3,12,38.89
SAN MARTIN,17,0,17,8,14,0.0
PASCO,15,0,15,3,14,0.0
HUANUCO,14,0,14,6,12,0.0
JUNIN,12,7,5,7,11,58.33
TACNA,11,8,3,3,10,72.73
MOQUEGUA,9,9,0,3,9,100.0
ICA,8,5,3,3,7,62.5
TUMBES,5,0,5,3,5,0.0
