OBJECTID,COD_DPTO,NOM_DPTO,COD_PROV,NOM_PROV,COD_DIST,NOM_DIST,COD_CCPP,NOM_CCPP,LIST_DIOP,REGIóN,PROVINCIA,DISTRITO,LOCALIDAD,NOM_PROY,NOM_LOC_ES,COD_LOC_ES,ESTADO,COD_ESTADO,FUENTE,XCENT_CCPP,YCENT_CCPP,geom_type,geom_lon,geom_lat,geometry_is_empty,geometry_is_valid,geometry_wkt
1.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020064,COPALLIN DE ARAMANGO,0102020064,AMAZONAS,BAGUA,ARAMANGO,COPALLIN DE ARAMANGO,[REGIONAL][AMAZONAS],16202,2872.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.459775,-5.459933,Point,-78.459775,-5.459933,False,True,POINT (-78.459775 -5.459933)
2.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020033,EL MUYO (C.P.L.),0102020033,AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),[REGIONAL][AMAZONAS],16200,2853.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.45299,-5.422545,Point,-78.45299,-5.422545,False,True,POINT (-78.45299 -5.422545)
3.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020033,EL MUYO (C.P.L.),0102020033,AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),[REGIONAL][AMAZONAS],AMAZONAS,3254.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.45299,-5.422545,Point,-78.45299,-5.422545,False,True,POINT (-78.45299 -5.422545)
4.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020033,EL MUYO (C.P.L.),0102020033,AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),[REGIONAL][AMAZONAS],16040 SAN JOSE,3334.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.45299,-5.422545,Point,-78.45299,-5.422545,False,True,POINT (-78.45299 -5.422545)
5.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020045,LA LIBERTAD (C.P.L.),0102020045,AMAZONAS,BAGUA,ARAMANGO,LA LIBERTAD (C.P.L.),[REGIONAL][AMAZONAS],SANTA INES,3348.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.487817,-5.448294,Point,-78.487817,-5.448294,False,True,POINT (-78.487817 -5.448294)
6.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020073,SANTA CLARA,0102020073,AMAZONAS,BAGUA,ARAMANGO,SANTA CLARA,[REGIONAL][AMAZONAS],17177,3065.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.450712,-5.483345,Point,-78.450712,-5.483345,False,True,POINT (-78.450712 -5.483345)
7.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020020,TUTUMBEROS,0102020020,AMAZONAS,BAGUA,ARAMANGO,TUTUMBEROS,[REGIONAL][AMAZONAS],16206,3230.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.44472,-5.327317,Point,-78.44472,-5.327317,False,True,POINT (-78.44472 -5.327317)
8.0,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,0102020020,TUTUMBEROS,0102020020,AMAZONAS,BAGUA,ARAMANGO,TUTUMBEROS,[REGIONAL][AMAZONAS],16320,3824.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.44472,-5.327317,Point,-78.44472,-5.327317,False,True,POINT (-78.44472 -5.327317)
9.0,01,AMAZONAS,0102,BAGUA,010201,BAGUA,0102010006,ESPITAL,0102010006,AMAZONAS,BAGUA,BAGUA,ESPITAL,[REGIONAL][AMAZONAS],MANUEL SCORZA,2532.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.499591,-5.518411,Point,-78.499591,-5.518411,False,True,POINT (-78.499591 -5.518411)
10.0,01,AMAZONAS,0102,BAGUA,010201,BAGUA,0102010006,ESPITAL,0102010006,AMAZONAS,BAGUA,BAGUA,ESPITAL,[REGIONAL][AMAZONAS],16281,2198.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.499591,-5.518411,Point,-78.499591,-5.518411,False,True,POINT (-78.499591 -5.518411)
11.0,01,AMAZONAS,0102,BAGUA,010201,BAGUA,0102010046,PECA PALACIOS,0102010046,AMAZONAS,BAGUA,BAGUA,PECA PALACIOS,[REGIONAL][AMAZONAS],16195,2117.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.487107,-5.669768,Point,-78.487107,-5.669768,False,True,POINT (-78.487107 -5.669768)
12.0,01,AMAZONAS,0102,BAGUA,010201,BAGUA,0102010044,TOMAQUE,0102010044,AMAZONAS,BAGUA,BAGUA,TOMAQUE,[REGIONAL][AMAZONAS],MILITAR HEROES DEL CENEPA,536501.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.505197,-5.649032,Point,-78.505197,-5.649032,False,True,POINT (-78.505197 -5.649032)
13.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030029,ALENYA,0102030029,AMAZONAS,BAGUA,COPALLIN,ALENYA,[REGIONAL][AMAZONAS],16241,3433.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.479243,-5.685448,Point,-78.479243,-5.685448,False,True,POINT (-78.479243 -5.685448)
14.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030002,CAMBIO PITEC,0102030002,AMAZONAS,BAGUA,COPALLIN,CAMBIO PITEC,[REGIONAL][AMAZONAS],16990,3517.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.385148,-5.628255,Point,-78.385148,-5.628255,False,True,POINT (-78.385148 -5.628255)
15.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030001,COPALLIN,0102030001,AMAZONAS,BAGUA,COPALLIN,COPALLIN,[REGIONAL][AMAZONAS],16239,3428.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.423097,-5.675129,Point,-78.423097,-5.675129,False,True,POINT (-78.423097 -5.675129)
16.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030001,COPALLIN,0102030001,AMAZONAS,BAGUA,COPALLIN,COPALLIN,[REGIONAL][AMAZONAS],SAGRADO CORAZON DE JESUS,3555.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.423097,-5.675129,Point,-78.423097,-5.675129,False,True,POINT (-78.423097 -5.675129)
17.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030019,LLUHUANA,0102030019,AMAZONAS,BAGUA,COPALLIN,LLUHUANA,[REGIONAL][AMAZONAS],16405 FRANCISCO BOLOGNESI,3466.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.405638,-5.679063,Point,-78.405638,-5.679063,False,True,POINT (-78.405638 -5.679063)
18.0,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,0102030018,PAN DE AZUCAR,0102030018,AMAZONAS,BAGUA,COPALLIN,PAN DE AZUCAR,[REGIONAL][AMAZONAS],16778,3485.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.39984,-5.667341,Point,-78.39984,-5.667341,False,True,POINT (-78.39984 -5.667341)
19.0,01,AMAZONAS,0102,BAGUA,010204,EL PARCO,0102040001,EL PARCO,0102040001,AMAZONAS,BAGUA,EL PARCO,EL PARCO,[REGIONAL][AMAZONAS],16273,3616.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.47538,-5.62505,Point,-78.47538,-5.62505,False,True,POINT (-78.47538 -5.62505)
20.0,01,AMAZONAS,0102,BAGUA,010204,EL PARCO,0102040001,EL PARCO,0102040001,AMAZONAS,BAGUA,EL PARCO,EL PARCO,[REGIONAL][AMAZONAS],DIVINO MAESTRO,3621.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.47538,-5.62505,Point,-78.47538,-5.62505,False,True,POINT (-78.47538 -5.62505)
21.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050001,CHIRIACO,0102050001,AMAZONAS,BAGUA,IMAZA,CHIRIACO,[REGIONAL][AMAZONAS],16318,3800.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.288897,-5.163699,Point,-78.288897,-5.163699,False,True,POINT (-78.288897 -5.163699)
22.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050001,CHIRIACO,0102050001,AMAZONAS,BAGUA,IMAZA,CHIRIACO,[REGIONAL][AMAZONAS],TECNICO INDUSTRIAL TUPAC AMARU,4772.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.288897,-5.163699,Point,-78.288897,-5.163699,False,True,POINT (-78.288897 -5.163699)
23.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050072,NAZARETH,0102050072,AMAZONAS,BAGUA,IMAZA,NAZARETH,[REGIONAL][AMAZONAS],16361,3999.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.321043,-5.137775,Point,-78.321043,-5.137775,False,True,POINT (-78.321043 -5.137775)
24.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050083,PAKUY,0102050083,AMAZONAS,BAGUA,IMAZA,PAKUY,[REGIONAL][AMAZONAS],16726,4201.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.265718,-5.209953,Point,-78.265718,-5.209953,False,True,POINT (-78.265718 -5.209953)
25.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050082,SHUSHUG,0102050082,AMAZONAS,BAGUA,IMAZA,SHUSHUG,[REGIONAL][AMAZONAS],IE 16354,3942.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.32319,-5.202492,Point,-78.32319,-5.202492,False,True,POINT (-78.32319 -5.202492)
26.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050100,UMUKAY,0102050100,AMAZONAS,BAGUA,IMAZA,UMUKAY,[REGIONAL][AMAZONAS],17838,563066.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.304803,-5.145598,Point,-78.304803,-5.145598,False,True,POINT (-78.304803 -5.145598)
27.0,01,AMAZONAS,0102,BAGUA,010205,IMAZA,0102050100,UMUKAY,0102050100,AMAZONAS,BAGUA,IMAZA,UMUKAY,[REGIONAL][AMAZONAS],TEETS TSEJE,4786.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.304803,-5.145598,Point,-78.304803,-5.145598,False,True,POINT (-78.304803 -5.145598)
28.0,01,AMAZONAS,0102,BAGUA,010206,LA PECA,0102060024,ACHAGUAY ALTO,0102060024,AMAZONAS,BAGUA,LA PECA,ACHAGUAY ALTO,[REGIONAL][AMAZONAS],17757,2438.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.49302,-5.59461,Point,-78.49302,-5.59461,False,True,POINT (-78.49302 -5.59461)
29.0,01,AMAZONAS,0102,BAGUA,010206,LA PECA,0102060035,CHOMZA ALTA,0102060035,AMAZONAS,BAGUA,LA PECA,CHOMZA ALTA,[REGIONAL][AMAZONAS],16283,2481.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.400958,-5.617553,Point,-78.400958,-5.617553,False,True,POINT (-78.400958 -5.617553)
30.0,01,AMAZONAS,0102,BAGUA,010206,LA PECA,0102060001,LA PECA,0102060001,AMAZONAS,BAGUA,LA PECA,LA PECA,[REGIONAL][AMAZONAS],JOSE CARLOS MARIATEGUI,2527.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.436949,-5.611815,Point,-78.436949,-5.611815,False,True,POINT (-78.436949 -5.611815)
31.0,01,AMAZONAS,0102,BAGUA,010206,LA PECA,0102060012,SAN ISIDRO,0102060012,AMAZONAS,BAGUA,LA PECA,SAN ISIDRO,[REGIONAL][AMAZONAS],16277,2476.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.482083,-5.554627,Point,-78.482083,-5.554627,False,True,POINT (-78.482083 -5.554627)
32.0,01,AMAZONAS,0103,BONGARA,010305,CUISPES,0103050005,FANRE,0103050005,AMAZONAS,BONGARA,CUISPES,FANRE,[REGIONAL][AMAZONAS],18087,5026.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.921762,-5.898957,Point,-77.921762,-5.898957,False,True,POINT (-77.921762 -5.898957)
33.0,01,AMAZONAS,0103,BONGARA,010306,FLORIDA,0103060022,CARRERA,0103060022,AMAZONAS,BONGARA,FLORIDA,CARRERA,[REGIONAL][AMAZONAS],118,5069.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.95622,-5.872157,Point,-77.95622,-5.872157,False,True,POINT (-77.95622 -5.872157)
34.0,01,AMAZONAS,0103,BONGARA,010310,SHIPASBAMBA,0103100001,SHIPASBAMBA,0103100001,AMAZONAS,BONGARA,SHIPASBAMBA,SHIPASBAMBA,[REGIONAL][AMAZONAS],18104 SANTO TOMAS,5413.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.980599,-5.910446,Point,-77.980599,-5.910446,False,True,POINT (-77.980599 -5.910446)
35.0,01,AMAZONAS,0103,BONGARA,010312,YAMBRASBAMBA,0103120001,YAMBRASBAMBA,0103120001,AMAZONAS,BONGARA,YAMBRASBAMBA,YAMBRASBAMBA,[REGIONAL][AMAZONAS],18106,5597.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.925102,-5.735335,Point,-77.925102,-5.735335,False,True,POINT (-77.925102 -5.735335)
36.0,01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,0101030001,BALSAS,0101030001,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,[REGIONAL][AMAZONAS],18012,383.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.019606,-6.835787,Point,-78.019606,-6.835787,False,True,POINT (-78.019606 -6.835787)
37.0,01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,0101030001,BALSAS,0101030001,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,[REGIONAL][AMAZONAS],NUESTRA SEÑORA DE GUADALUPE,515674.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-78.019606,-6.835787,Point,-78.019606,-6.835787,False,True,POINT (-78.019606 -6.835787)
38.0,01,AMAZONAS,0101,CHACHAPOYAS,010104,CHETO,0101040001,CHETO,0101040001,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,[REGIONAL][AMAZONAS],18017,458.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.700845,-6.255428,Point,-77.700845,-6.255428,False,True,POINT (-77.700845 -6.255428)
39.0,01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,0101060001,CHUQUIBAMBA,0101060001,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,[REGIONAL][AMAZONAS],18323,712.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.854214,-6.935124,Point,-77.854214,-6.935124,False,True,POINT (-77.854214 -6.935124)
40.0,01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,0101060001,CHUQUIBAMBA,0101060001,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,[REGIONAL][AMAZONAS],OCTAVIO ORTIZ ARRIETA,745.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.854214,-6.935124,Point,-77.854214,-6.935124,False,True,POINT (-77.854214 -6.935124)
41.0,01,AMAZONAS,0101,CHACHAPOYAS,010107,GRANADA,0101070003,DIOSAN,0101070003,AMAZONAS,CHACHAPOYAS,GRANADA,DIOSAN,[REGIONAL][AMAZONAS],18037,769.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.628172,-6.102885,Point,-77.628172,-6.102885,False,True,POINT (-77.628172 -6.102885)
42.0,01,AMAZONAS,0101,CHACHAPOYAS,010109,LA JALCA,0101090001,LA JALCA,0101090001,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,[REGIONAL][AMAZONAS],18041 PURIFICACION CULQUI PUIQUIN,868.0,NO OPERATIVO,2.0,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",-77.81498,-6.484611,Point,-77.81498,-6.484611,False,True,POINT (-77.81498 -6.484611)
