NOM_DPTO,total_locales_escolares,locales_operativos,locales_no_operativos,provincias,distritos,centros_poblados,locales_escolares_unicos,pct_operativo
AMAZONAS,256,0,256,7,57,189,255,0.0
ANCASH,520,0,520,20,143,430,518,0.0
APURIMAC,409,409,0,7,80,235,407,1.0
AREQUIPA,268,0,268,8,82,235,268,0.0
AYACUCHO,478,478,0,11,100,299,476,1.0
CAJAMARCA,1472,0,1472,13,119,1133,1472,0.0
CUSCO,424,424,0,13,87,331,418,1.0
HUANCAVELICA,443,443,0,7,86,301,443,1.0
HUANUCO,341,0,341,11,80,310,340,0.0
ICA,50,18,32,5,21,47,50,0.36
JUNIN,325,176,149,9,83,276,323,0.5415
LA LIBERTAD,743,0,743,12,63,680,743,0.0
LAMBAYEQUE,379,379,0,3,35,335,375,1.0
LIMA,256,256,0,9,113,214,256,1.0
LORETO,403,73,330,6,23,387,395,0.1811
MOQUEGUA,69,65,4,3,18,61,69,0.942
PASCO,375,0,375,3,28,259,319,0.0
PIURA,539,0,539,8,48,484,538,0.0
PUNO,635,198,437,13,97,406,635,0.3118
SAN MARTIN,215,0,215,10,50,174,210,0.0
TACNA,68,61,7,4,21,52,68,0.8971
TUMBES,52,0,52,3,11,45,52,0.0
