NOM_PROY,total_locales_escolares,departamentos,provincias,distritos,operativos,no_operativos
[REGIONAL][CAJAMARCA],1472,1,13,119,0,1472
[REGIONAL][LA LIBERTAD],743,1,12,63,0,743
[REGIONAL][PUNO],635,1,13,97,198,437
[REGIONAL][PIURA],539,1,8,48,0,539
[REGIONAL][ANCASH],520,1,20,143,0,520
[REGIONAL] - [AYACUCHO],478,1,11,100,478,0
[REGIONAL] - [HUANCAVELICA],443,1,7,86,443,0
[REGIONAL] - [CUSCO],424,1,13,87,424,0
[REGIONAL] - [APURIMAC],409,1,7,80,409,0
[REGIONAL] - [LAMBAYEQUE],379,1,3,35,379,0
[REGIONAL][PASCO],375,1,3,28,0,375
[REGIONAL][HUANUCO],341,1,11,80,0,341
[REGIONAL][JUNIN],325,1,9,83,176,149
[REGIONAL][NAPO-PUTUMAYO],278,1,4,18,0,278
[REGIONAL][AREQUIPA],268,1,8,82,0,268
[REGIONAL][AMAZONAS],256,1,7,57,0,256
[REGIONAL][LIMA],256,1,9,113,256,0
[REGIONAL][SAN MARTIN],215,1,10,50,0,215
[REGIONAL][INTEGRACION AMAZONICA],73,1,2,9,73,0
[REGIONAL][MOQUEGUA],69,1,3,18,65,4
[REGIONAL][TACNA],68,1,4,21,61,7
[REGIONAL][MANSERICHE],52,1,1,1,0,52
[REGIONAL][TUMBES],52,1,3,11,0,52
[REGIONAL][ICA],50,1,5,21,18,32
