cod_dpto,nom_dpto,total_localidades_beneficiarias,poblacion_2023_total,total_iaos,total_iiee,total_eess,total_dp,total_instituciones_beneficiarias,porcentaje_localidades
06,CAJAMARCA,1094,318113,1830,1336,472,22,3660,15.75
13,LA LIBERTAD,730,292324,959,743,186,30,1918,10.51
02,ANCASH,481,190633,817,520,269,28,1634,6.93
21,PUNO,471,252007,958,635,285,38,1916,6.78
20,PIURA,463,190430,669,479,172,18,1338,6.67
12,JUNIN,352,251473,557,324,221,12,1114,5.07
10,HUANUCO,348,202017,449,343,159,14,965,5.01
14,LAMBAYEQUE,346,228019,463,355,97,11,926,4.98
08,CUSCO,316,139967,499,358,114,27,998,4.55
15,LIMA,279,182507,450,244,190,16,900,4.02
09,HUANCAVELICA,279,89869,554,348,190,16,1108,4.02
01,AMAZONAS,268,131361,516,256,218,42,1032,3.86
05,AYACUCHO,267,103169,517,338,170,9,1034,3.84
19,PASCO,264,112244,545,376,155,14,1090,3.8
04,AREQUIPA,252,123076,442,268,121,53,884,3.63
22,SAN MARTIN,220,192607,371,215,139,17,742,3.17
03,APURIMAC,199,77727,419,252,157,10,838,2.87
16,LORETO,97,59727,121,76,31,8,236,1.4
11,ICA,81,70955,116,50,58,8,232,1.17
18,MOQUEGUA,66,21416,107,69,29,9,214,0.95
23,TACNA,52,17604,103,68,24,11,206,0.75
24,TUMBES,20,12902,32,17,13,2,64,0.29
