cod_dpto,nom_dpto,cod_prov,nom_prov,cod_dist,nom_dist,total_localidades_beneficiarias,poblacion_2023_total,total_iaos,total_iiee,total_eess,total_dp,total_instituciones_beneficiarias
06,CAJAMARCA,0606,CUTERVO,060601,CUTERVO,61,18571,121,77,43,1,242
20,PIURA,2002,AYABACA,200201,AYABACA,58,12815,93,67,25,1,186
06,CAJAMARCA,0607,HUALGAYOC,060701,BAMBAMARCA,52,19944,96,68,27,1,192
13,LA LIBERTAD,1306,OTUZCO,130614,USQUIL,50,14536,58,47,10,1,116
14,LAMBAYEQUE,1403,LAMBAYEQUE,140308,OLMOS,49,18047,58,47,11,0,116
06,CAJAMARCA,0609,SAN IGNACIO,060901,SAN IGNACIO,49,14844,63,50,13,0,126
20,PIURA,2002,AYABACA,200206,PACAIPAMPA,49,13625,61,53,7,1,122
14,LAMBAYEQUE,1403,LAMBAYEQUE,140306,MORROPE,45,42333,73,50,20,3,146
20,PIURA,2003,HUANCABAMBA,200304,HUARMACA,37,9459,50,37,13,0,100
13,LA LIBERTAD,1306,OTUZCO,130601,OTUZCO,36,8914,40,35,5,0,80
21,PUNO,2105,EL COLLAO,210501,ILAVE,35,9415,62,42,20,0,124
13,LA LIBERTAD,1309,SANCHEZ CARRION,130902,CHUGAY,34,12280,39,35,4,0,78
06,CAJAMARCA,0606,CUTERVO,060607,QUEROCOTILLO,34,7728,67,49,18,0,134
14,LAMBAYEQUE,1402,FERREÑAFE,140203,INCAHUASI,32,8989,44,32,10,2,88
01,AMAZONAS,0107,UTCUBAMBA,010702,CAJARURO,30,14792,62,36,25,1,124
06,CAJAMARCA,0609,SAN IGNACIO,060906,SAN JOSE DE LOURDES,30,9634,39,29,10,0,78
06,CAJAMARCA,0604,CHOTA,060417,TACABAMBA,30,7697,51,38,13,0,102
06,CAJAMARCA,0609,SAN IGNACIO,060904,LA COIPA,29,10441,41,28,13,0,82
09,HUANCAVELICA,0901,HUANCAVELICA,090103,ACORIA,29,8294,53,38,14,1,106
13,LA LIBERTAD,1305,JULCAN,130501,JULCAN,29,6156,35,29,6,0,70
06,CAJAMARCA,0604,CHOTA,060401,CHOTA,28,10433,52,33,19,0,104
06,CAJAMARCA,0601,CAJAMARCA,060105,ENCAÑADA,28,7842,40,32,7,1,80
12,JUNIN,1206,SATIPO,120606,PANGOA,27,35964,52,36,15,1,104
22,SAN MARTIN,2201,MOYOBAMBA,220101,MOYOBAMBA,26,14509,37,27,10,0,74
09,HUANCAVELICA,0901,HUANCAVELICA,090117,YAULI,26,14344,56,37,18,1,112
19,PASCO,1902,DANIEL ALCIDES CARRION,190206,SANTA ANA DE TUSI,26,12810,54,38,15,1,108
01,AMAZONAS,0104,CONDORCANQUI,010401,NIEVA,26,9645,42,31,10,1,84
06,CAJAMARCA,0609,SAN IGNACIO,060903,HUARANGO,25,10040,36,27,8,1,72
13,LA LIBERTAD,1308,PATAZ,130803,CHILLIA,25,9803,37,32,4,1,74
06,CAJAMARCA,0609,SAN IGNACIO,060902,CHIRINOS,25,7753,31,26,5,0,62
13,LA LIBERTAD,1310,SANTIAGO DE CHUCO,131006,QUIRUVILCA,25,7061,30,22,6,2,60
13,LA LIBERTAD,1309,SANCHEZ CARRION,130906,SANAGORAN,25,6922,31,26,5,0,62
20,PIURA,2002,AYABACA,200202,FRIAS,25,5746,32,29,3,0,64
13,LA LIBERTAD,1309,SANCHEZ CARRION,130901,HUAMACHUCO,24,10273,24,22,2,0,48
21,PUNO,2101,PUNO,210102,ACORA,24,8809,48,34,13,1,96
13,LA LIBERTAD,1306,OTUZCO,130602,AGALLPAMPA,24,8126,35,25,9,1,70
06,CAJAMARCA,0603,CELENDIN,060304,HUASMIN,24,5319,37,31,6,0,74
19,PASCO,1902,DANIEL ALCIDES CARRION,190201,YANAHUANCA,24,4651,53,34,19,0,106
19,PASCO,1903,OXAPAMPA,190308,CONSTITUCION,23,11528,47,35,11,1,94
19,PASCO,1901,PASCO,190107,PAUCARTAMBO,23,10558,44,36,7,1,88
13,LA LIBERTAD,1309,SANCHEZ CARRION,130907,SARIN,23,5649,30,24,5,1,60
13,LA LIBERTAD,1308,PATAZ,130801,TAYABAMBA,23,4863,25,24,1,0,50
19,PASCO,1903,OXAPAMPA,190306,PUERTO BERMUDEZ,22,10204,44,33,10,1,88
06,CAJAMARCA,0601,CAJAMARCA,060101,CAJAMARCA,22,8352,33,22,10,1,66
06,CAJAMARCA,0606,CUTERVO,060602,CALLAYUC,22,4960,40,28,12,0,80
13,LA LIBERTAD,1305,JULCAN,130503,CARABAMBA,22,4762,25,23,1,1,50
04,AREQUIPA,0405,CAYLLOMA,040520,MAJES,21,12450,29,22,4,3,58
13,LA LIBERTAD,1308,PATAZ,130808,PARCOY,21,11980,30,24,4,2,60
16,LORETO,1601,MAYNAS,160104,INDIANA,21,8018,19,12,5,1,37
01,AMAZONAS,0107,UTCUBAMBA,010701,BAGUA GRANDE,21,7588,37,19,18,0,74
13,LA LIBERTAD,1309,SANCHEZ CARRION,130903,COCHORCO,21,7119,28,23,5,0,56
20,PIURA,2003,HUANCABAMBA,200301,HUANCABAMBA,21,6466,28,22,6,0,56
13,LA LIBERTAD,1305,JULCAN,130504,HUASO,20,4164,26,19,7,0,52
21,PUNO,2104,CHUCUITO,210406,POMATA,19,9651,28,20,8,0,56
14,LAMBAYEQUE,1402,FERREÑAFE,140205,PITIPO,19,9417,28,23,5,0,56
20,PIURA,2001,PIURA,200114,TAMBO GRANDE,19,7108,24,19,5,0,48
14,LAMBAYEQUE,1403,LAMBAYEQUE,140310,SALAS,19,4754,27,20,6,1,54
13,LA LIBERTAD,1309,SANCHEZ CARRION,130905,MARCABAL,19,4622,23,17,6,0,46
06,CAJAMARCA,0606,CUTERVO,060614,SOCOTA,19,4593,37,24,13,0,74
19,PASCO,1903,OXAPAMPA,190304,PALCAZU,19,3962,35,25,9,1,70
06,CAJAMARCA,0609,SAN IGNACIO,060905,NAMBALLE,19,3444,22,19,3,0,44
21,PUNO,2113,YUNGUYO,211301,YUNGUYO,19,3048,29,21,6,2,58
12,JUNIN,1206,SATIPO,120604,MAZAMARI,18,23447,23,17,5,1,46
14,LAMBAYEQUE,1403,LAMBAYEQUE,140312,TUCUME,18,8681,25,20,5,0,50
12,JUNIN,1206,SATIPO,120608,RIO TAMBO,18,6409,31,20,11,0,62
12,JUNIN,1203,CHANCHAMAYO,120303,PICHANAQUI,18,5026,22,17,5,0,44
20,PIURA,2002,AYABACA,200210,SUYO,18,3817,26,20,4,2,52
13,LA LIBERTAD,1309,SANCHEZ CARRION,130908,SARTIMBAMBA,17,6300,22,18,4,0,44
06,CAJAMARCA,0608,JAEN,060802,BELLAVISTA,17,6008,24,17,6,1,48
12,JUNIN,1203,CHANCHAMAYO,120302,PERENE,17,5300,24,15,9,0,48
06,CAJAMARCA,0602,CAJABAMBA,060202,CACHACHI,17,4788,29,22,5,2,58
13,LA LIBERTAD,1308,PATAZ,130804,HUANCASPATA,17,4184,23,20,3,0,46
13,LA LIBERTAD,1305,JULCAN,130502,CALAMARCA,17,2954,25,21,4,0,50
19,PASCO,1903,OXAPAMPA,190305,POZUZO,17,2653,31,22,8,1,62
02,ANCASH,0218,SANTA,021801,CHIMBOTE,16,18301,21,11,8,2,42
14,LAMBAYEQUE,1403,LAMBAYEQUE,140307,MOTUPE,16,8204,20,16,4,0,40
16,LORETO,1604,MARISCAL RAMON CASTILLA,160404,SAN PABLO,16,8156,20,15,3,1,39
14,LAMBAYEQUE,1403,LAMBAYEQUE,140305,MOCHUMI,16,6731,18,15,3,0,36
14,LAMBAYEQUE,1403,LAMBAYEQUE,140301,LAMBAYEQUE,16,5762,19,17,2,0,38
02,ANCASH,0220,YUNGAY,022001,YUNGAY,16,4762,22,16,6,0,44
21,PUNO,2104,CHUCUITO,210407,ZEPITA,16,4729,28,20,7,1,56
13,LA LIBERTAD,1310,SANTIAGO DE CHUCO,131001,SANTIAGO DE CHUCO,16,4485,19,16,3,0,38
09,HUANCAVELICA,0903,ANGARAES,090301,LIRCAY,16,4335,23,15,8,0,46
08,CUSCO,0812,QUISPICANCHI,081210,OCONGATE,16,3264,17,17,0,0,34
06,CAJAMARCA,0608,JAEN,060801,JAEN,15,11086,23,14,8,1,46
04,AREQUIPA,0401,AREQUIPA,040108,LA JOYA,15,10294,25,14,7,4,50
16,LORETO,1604,MARISCAL RAMON CASTILLA,160402,PEBAS,15,8776,20,12,6,1,39
20,PIURA,2002,AYABACA,200207,PAIMAS,15,4722,17,15,2,0,34
06,CAJAMARCA,0604,CHOTA,060419,CHALAMARCA,15,4590,31,20,11,0,62
20,PIURA,2001,PIURA,200111,LAS LOMAS,15,4512,21,12,9,0,42
01,AMAZONAS,0107,UTCUBAMBA,010706,LONYA GRANDE,14,7111,27,18,8,1,54
10,HUANUCO,1001,HUANUCO,100104,CHURUBAMBA,14,6817,19,12,5,0,36
06,CAJAMARCA,0604,CHOTA,060410,LAJAS,14,5206,26,16,10,0,52
06,CAJAMARCA,0601,CAJAMARCA,060106,JESUS,14,3627,21,18,3,0,42
06,CAJAMARCA,0604,CHOTA,060415,QUEROCOTO,14,3191,24,18,6,0,48
20,PIURA,2006,SULLANA,200604,LANCONES,14,3080,28,14,9,5,56
08,CUSCO,0807,CHUMBIVILCAS,080701,SANTO TOMAS,14,2790,22,15,7,0,44
06,CAJAMARCA,0604,CHOTA,060411,LLAMA,14,2600,19,15,4,0,38
15,LIMA,1506,HUARAL,150601,HUARAL,13,11676,16,7,9,0,32
10,HUANUCO,1001,HUANUCO,100109,SANTA MARIA DEL VALLE,13,7434,18,11,6,0,35
14,LAMBAYEQUE,1403,LAMBAYEQUE,140304,JAYANCA,13,7036,15,14,1,0,30
06,CAJAMARCA,0607,HUALGAYOC,060703,HUALGAYOC,13,5369,25,16,9,0,50
20,PIURA,2002,AYABACA,200208,SAPILLICA,13,3768,16,13,3,0,32
06,CAJAMARCA,0603,CELENDIN,060301,CELENDIN,13,3528,17,16,1,0,34
20,PIURA,2003,HUANCABAMBA,200306,SAN MIGUEL DE EL FAIQUE,13,3364,20,13,7,0,40
06,CAJAMARCA,0604,CHOTA,060409,HUAMBOS,13,2999,23,16,7,0,46
06,CAJAMARCA,0603,CELENDIN,060309,SOROCHUCO,13,2975,27,21,6,0,54
13,LA LIBERTAD,1310,SANTIAGO DE CHUCO,131008,SITABAMBA,13,2892,20,16,4,0,40
08,CUSCO,0809,LA CONVENCION,080910,PICHARI,12,15830,19,13,5,1,38
22,SAN MARTIN,2208,RIOJA,220804,NUEVA CAJAMARCA,12,12953,14,6,8,0,28
20,PIURA,2003,HUANCABAMBA,200303,EL CARMEN DE LA FRONTERA,12,4950,19,14,4,1,38
06,CAJAMARCA,0610,SAN MARCOS,061001,PEDRO GALVEZ,12,4945,17,14,3,0,34
06,CAJAMARCA,0601,CAJAMARCA,060108,LOS BAÑOS DEL INCA,12,4713,16,14,2,0,32
01,AMAZONAS,0107,UTCUBAMBA,010705,JAMALCA,12,3930,24,12,10,2,48
13,LA LIBERTAD,1311,GRAN CHIMU,131104,SAYAPULLO,12,3688,16,13,2,1,32
08,CUSCO,0812,QUISPICANCHI,081205,CCATCA,12,3676,17,15,1,1,34
21,PUNO,2104,CHUCUITO,210401,JULI,12,3612,20,15,5,0,40
02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,020701,SAN LUIS,12,3280,17,13,4,0,34
10,HUANUCO,1007,MARAÑON,100701,HUACRACHUCO,12,3264,16,14,3,0,33
13,LA LIBERTAD,1308,PATAZ,130806,HUAYO,12,3059,15,12,3,0,30
10,HUANUCO,1005,HUAMALIES,100504,JACAS GRANDE,12,3049,17,14,5,0,36
06,CAJAMARCA,0606,CUTERVO,060613,SANTO TOMAS,12,2739,22,15,7,0,44
02,ANCASH,0210,HUARI,021004,CHAVIN DE HUANTAR,12,2587,14,11,3,0,28
20,PIURA,2002,AYABACA,200204,LAGUNAS,12,2421,23,16,5,2,46
13,LA LIBERTAD,1311,GRAN CHIMU,131102,LUCMA,12,2259,18,12,5,1,36
22,SAN MARTIN,2210,TOCACHE,221005,UCHIZA,11,15836,13,6,6,1,26
22,SAN MARTIN,2208,RIOJA,220805,PARDO MIGUEL,11,13164,16,8,6,2,32
08,CUSCO,0809,LA CONVENCION,080907,KIMBIRI,11,10735,19,13,6,0,38
10,HUANUCO,1005,HUAMALIES,100507,MONZON,11,7911,9,10,7,3,29
10,HUANUCO,1008,PACHITEA,100803,MOLINO,11,7047,17,13,3,0,33
05,AYACUCHO,0504,HUANTA,050408,LLOCHEGUA,11,7036,20,11,9,0,40
06,CAJAMARCA,0602,CAJABAMBA,060201,CAJABAMBA,11,5155,14,12,2,0,28
14,LAMBAYEQUE,1401,CHICLAYO,140108,MONSEFU,11,5089,10,8,2,0,20
08,CUSCO,0811,PAUCARTAMBO,081105,HUANCARANI,11,4831,12,10,1,1,24
10,HUANUCO,1001,HUANUCO,100113,SAN PABLO DE PILLAO,11,4744,13,11,1,0,25
06,CAJAMARCA,0612,SAN PABLO,061201,SAN PABLO,11,3621,22,19,3,0,44
09,HUANCAVELICA,0903,ANGARAES,090302,ANCHONGA,11,3588,19,13,6,0,38
05,AYACUCHO,0501,HUAMANGA,050102,ACOCRO,11,3212,14,10,4,0,28
13,LA LIBERTAD,1306,OTUZCO,130605,HUARANCHAL,11,3171,14,11,2,1,28
23,TACNA,2301,TACNA,230111,LA YARADA LOS PALOS,11,2920,21,16,5,0,42
19,PASCO,1903,OXAPAMPA,190307,VILLA RICA,11,2692,19,12,7,0,38
06,CAJAMARCA,0603,CELENDIN,060312,LA LIBERTAD DE PALLAN,11,2545,16,14,2,0,32
06,CAJAMARCA,0611,SAN MIGUEL,061101,SAN MIGUEL,11,2188,17,14,3,0,34
20,PIURA,2004,MORROPON,200410,YAMANGO,11,2155,16,13,3,0,32
18,MOQUEGUA,1802,GENERAL SANCHEZ CERRO,180210,UBINAS,11,1506,15,12,2,1,30
13,LA LIBERTAD,1312,VIRU,131201,VIRU,10,26528,12,5,6,1,24
16,LORETO,1604,MARISCAL RAMON CASTILLA,160401,RAMON CASTILLA,10,15465,17,10,4,2,33
16,LORETO,1601,MAYNAS,160106,MAZAN,10,6735,14,9,3,1,27
21,PUNO,2102,AZANGARO,210204,ASILLO,10,6144,19,15,3,1,38
02,ANCASH,0201,HUARAZ,020105,INDEPENDENCIA,10,4949,18,8,10,0,36
22,SAN MARTIN,2210,TOCACHE,221003,POLVORA,10,4919,15,9,5,1,30
02,ANCASH,0220,YUNGAY,022005,QUILLO,10,4700,14,10,3,1,28
08,CUSCO,0809,LA CONVENCION,080902,ECHARATE,10,4450,21,13,5,3,42
02,ANCASH,0210,HUARI,021014,SAN MARCOS,10,3908,15,12,3,0,30
13,LA LIBERTAD,1309,SANCHEZ CARRION,130904,CURGOS,10,3889,12,8,3,1,24
04,AREQUIPA,0404,CASTILLA,040401,APLAO,10,3826,16,11,5,0,32
21,PUNO,2101,PUNO,210106,CHUCUITO,10,3602,15,12,2,1,30
10,HUANUCO,1008,PACHITEA,100804,UMARI,10,3394,12,11,3,0,26
19,PASCO,1903,OXAPAMPA,190303,HUANCABAMBA,10,3331,18,12,5,1,36
08,CUSCO,0811,PAUCARTAMBO,081104,COLQUEPATA,10,3278,13,10,2,1,26
13,LA LIBERTAD,1308,PATAZ,130802,BULDIBUYO,10,3164,18,14,4,0,36
20,PIURA,2002,AYABACA,200205,MONTERO,10,3162,16,11,4,1,32
06,CAJAMARCA,0608,JAEN,060805,HUABAL,10,3133,14,10,4,0,28
02,ANCASH,0212,HUAYLAS,021201,CARAZ,10,3050,13,10,3,0,26
13,LA LIBERTAD,1306,OTUZCO,130611,SALPO,10,3038,14,10,3,1,28
02,ANCASH,0213,MARISCAL LUZURIAGA,021306,LLUMPA,10,2817,20,16,4,0,40
06,CAJAMARCA,0606,CUTERVO,060612,SANTO DOMINGO DE LA CAPILLA,10,2654,18,11,7,0,36
02,ANCASH,0212,HUAYLAS,021206,PAMPAROMAS,10,2552,18,9,8,1,36
18,MOQUEGUA,1802,GENERAL SANCHEZ CERRO,180208,PUQUINA,10,2217,17,13,3,1,34
21,PUNO,2106,HUANCANE,210601,HUANCANE,10,1756,18,11,7,0,36
21,PUNO,2109,MOHO,210901,MOHO,10,1664,18,12,6,0,36
05,AYACUCHO,0501,HUAMANGA,050114,VINCHOS,10,1338,19,15,4,0,38
15,LIMA,1508,HUAURA,150811,SAYAN,9,10444,14,9,4,1,28
15,LIMA,1505,CAÑETE,150501,SAN VICENTE DE CAÑETE,9,9096,10,7,2,1,20
14,LAMBAYEQUE,1403,LAMBAYEQUE,140309,PACORA,9,6474,13,11,1,1,26
21,PUNO,2103,CARABAYA,210303,AYAPATA,9,6159,20,15,5,0,40
14,LAMBAYEQUE,1401,CHICLAYO,140102,CHONGOYAPE,9,5304,10,9,1,0,20
12,JUNIN,1207,TARMA,120701,TARMA,9,4669,13,8,5,0,26
22,SAN MARTIN,2203,EL DORADO,220301,SAN JOSE DE SISA,9,4582,14,11,3,0,28
16,LORETO,1601,MAYNAS,160105,LAS AMAZONAS,9,4447,12,6,4,1,23
04,AREQUIPA,0404,CASTILLA,040413,URACA,9,4178,11,8,3,0,22
02,ANCASH,0206,CARHUAZ,020601,CARHUAZ,9,3783,13,8,5,0,26
12,JUNIN,1207,TARMA,120702,ACOBAMBA,9,3434,13,9,4,0,26
02,ANCASH,0216,POMABAMBA,021603,PAROBAMBA,9,2872,16,11,5,0,32
08,CUSCO,0807,CHUMBIVILCAS,080704,COLQUEMARCA,9,2685,16,12,4,0,32
09,HUANCAVELICA,0902,ACOBAMBA,090203,ANTA,9,2569,18,11,7,0,36
06,CAJAMARCA,0604,CHOTA,060408,CONCHAN,9,2530,16,11,5,0,32
06,CAJAMARCA,0613,SANTA CRUZ,061303,CATACHE,9,2480,16,11,5,0,32
02,ANCASH,0220,YUNGAY,022008,YANAMA,9,2467,16,9,6,1,32
06,CAJAMARCA,0611,SAN MIGUEL,061107,LLAPA,9,1872,17,12,5,0,34
06,CAJAMARCA,0603,CELENDIN,060307,MIGUEL IGLESIAS,9,1819,13,11,2,0,26
06,CAJAMARCA,0606,CUTERVO,060606,PIMPINGOS,9,1738,16,12,4,0,32
20,PIURA,2003,HUANCABAMBA,200305,LALAQUIZ,9,1444,11,9,2,0,22
06,CAJAMARCA,0613,SANTA CRUZ,061307,PULAN,9,1307,14,12,2,0,28
06,CAJAMARCA,0603,CELENDIN,060310,SUCRE,9,1306,14,11,3,0,28
15,LIMA,1505,CAÑETE,150510,NUEVO IMPERIAL,8,17146,9,3,5,1,18
10,HUANUCO,1001,HUANUCO,100102,AMARILIS,8,10016,7,8,3,0,18
12,JUNIN,1201,HUANCAYO,120114,EL TAMBO,8,7576,9,1,8,0,18
22,SAN MARTIN,2203,EL DORADO,220303,SAN MARTIN,8,5614,14,11,2,1,28
15,LIMA,1504,CANTA,150407,SANTA ROSA DE QUIVES,8,4298,11,8,2,1,22
05,AYACUCHO,0505,LA MAR,050509,SAMUGARI,8,3975,14,12,2,0,28
06,CAJAMARCA,0602,CAJABAMBA,060203,CONDEBAMBA,8,3670,13,9,3,1,26
10,HUANUCO,1006,LEONCIO PRADO,100604,JOSE CRESPO Y CASTILLO,8,3474,10,7,4,0,21
10,HUANUCO,1009,PUERTO INCA,100903,HONORIA,8,3317,13,6,5,0,24
03,APURIMAC,0302,ANDAHUAYLAS,030215,SANTA MARIA DE CHICMO,8,3072,18,14,4,0,36
21,PUNO,2105,EL COLLAO,210503,PILCUYO,8,3007,17,11,5,1,34
03,APURIMAC,0302,ANDAHUAYLAS,030202,ANDARAPA,8,2832,16,11,5,0,32
14,LAMBAYEQUE,1403,LAMBAYEQUE,140303,ILLIMO,8,2820,10,8,2,0,20
10,HUANUCO,1011,YAROWILCA,101104,APARICIO POMARES,8,2743,11,7,2,0,20
06,CAJAMARCA,0612,SAN PABLO,061202,SAN BERNARDINO,8,2672,16,12,3,1,32
21,PUNO,2101,PUNO,210112,PLATERIA,8,2617,17,12,5,0,34
13,LA LIBERTAD,1310,SANTIAGO DE CHUCO,131007,SANTA CRUZ DE CHUCA,8,2457,9,6,3,0,18
21,PUNO,2102,AZANGARO,210206,CHUPA,8,2383,13,9,4,0,26
08,CUSCO,0804,CALCA,080401,CALCA,8,2361,9,7,2,0,18
05,AYACUCHO,0501,HUAMANGA,050113,TAMBILLO,8,2340,9,5,4,0,18
02,ANCASH,0212,HUAYLAS,021207,PUEBLO LIBRE,8,2232,11,6,5,0,22
10,HUANUCO,1011,YAROWILCA,101106,OBAS,8,2230,9,6,5,0,20
05,AYACUCHO,0501,HUAMANGA,050112,SOCOS,8,2227,14,11,3,0,28
06,CAJAMARCA,0607,HUALGAYOC,060702,CHUGUR,8,2113,13,10,3,0,26
18,MOQUEGUA,1801,MARISCAL NIETO,180102,CARUMAS,8,2101,12,8,3,1,24
02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,020703,YAUYA,8,2089,14,9,5,0,28
06,CAJAMARCA,0610,SAN MARCOS,061002,CHANCAY,8,2015,12,8,3,1,24
13,LA LIBERTAD,1306,OTUZCO,130604,CHARAT,8,1846,16,10,4,2,32
20,PIURA,2003,HUANCABAMBA,200302,CANCHAQUE,8,1807,13,10,3,0,26
04,AREQUIPA,0407,ISLAY,040702,COCACHACRA,8,1781,11,8,3,0,22
20,PIURA,2003,HUANCABAMBA,200307,SONDOR,8,1775,8,8,0,0,16
20,PIURA,2004,MORROPON,200403,CHALACO,8,1760,12,9,3,0,24
14,LAMBAYEQUE,1401,CHICLAYO,140110,OYOTUN,8,1757,7,5,2,0,14
19,PASCO,1901,PASCO,190106,PALLANCHACRA,8,1350,14,10,4,0,28
06,CAJAMARCA,0613,SANTA CRUZ,061304,CHANCAYBAÑOS,8,1302,13,10,3,0,26
08,CUSCO,0805,CANAS,080502,CHECCA,8,915,10,9,1,0,20
15,LIMA,1506,HUARAL,150605,CHANCAY,7,17334,7,2,4,1,14
20,PIURA,2001,PIURA,200109,LA ARENA,7,13686,10,5,5,0,20
11,ICA,1101,ICA,110111,SANTIAGO,7,8230,8,4,4,0,16
19,PASCO,1901,PASCO,190104,HUAYLLAY,7,8048,17,11,5,1,34
12,JUNIN,1207,TARMA,120704,HUASAHUASI,7,7201,17,11,5,1,34
05,AYACUCHO,0505,LA MAR,050508,TAMBO,7,6235,15,11,3,1,30
05,AYACUCHO,0504,HUANTA,050407,SIVIA,7,5026,14,10,4,0,28
01,AMAZONAS,0107,UTCUBAMBA,010704,EL MILAGRO,7,4228,15,7,7,1,30
19,PASCO,1901,PASCO,190109,SIMON BOLIVAR,7,3945,17,10,7,0,34
01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,7,3853,17,8,7,2,34
10,HUANUCO,1004,HUACAYBAMBA,100404,PINRA,7,3726,11,8,3,0,22
15,LIMA,1502,BARRANCA,150203,PATIVILCA,7,3724,11,6,5,0,22
15,LIMA,1502,BARRANCA,150204,SUPE,7,3665,9,6,3,0,18
21,PUNO,2106,HUANCANE,210607,TARACO,7,3539,14,9,4,1,28
19,PASCO,1901,PASCO,190102,HUACHON,7,3489,19,13,5,1,38
12,JUNIN,1202,CONCEPCION,120214,SAN JOSE DE QUERO,7,3487,13,8,5,0,26
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,7,3169,11,4,6,0,21
22,SAN MARTIN,2205,LAMAS,220511,ZAPATERO,7,3067,12,6,6,0,24
05,AYACUCHO,0501,HUAMANGA,050105,CHIARA,7,2953,13,9,4,0,26
21,PUNO,2112,SANDIA,211201,SANDIA,7,2953,15,12,3,0,30
12,JUNIN,1204,JAUJA,120431,SINCOS,7,2939,10,6,3,1,20
20,PIURA,2004,MORROPON,200402,BUENOS AIRES,7,2856,7,4,3,0,14
02,ANCASH,0201,HUARAZ,020110,PARIACOTO,7,2825,11,8,2,1,22
10,HUANUCO,1008,PACHITEA,100801,PANAO,7,2721,11,7,1,0,19
12,JUNIN,1202,CONCEPCION,120206,COMAS,7,2708,13,8,4,1,26
21,PUNO,2102,AZANGARO,210210,SAMAN,7,2591,9,7,2,0,18
02,ANCASH,0210,HUARI,021001,HUARI,7,2526,13,9,4,0,26
20,PIURA,2006,SULLANA,200601,SULLANA,7,2308,13,7,6,0,26
09,HUANCAVELICA,0907,TAYACAJA,090719,QUICHUAS,7,2274,13,9,4,0,26
21,PUNO,2101,PUNO,210101,PUNO,7,2207,10,3,5,2,20
03,APURIMAC,0302,ANDAHUAYLAS,030216,TALAVERA,7,2138,11,7,4,0,22
02,ANCASH,0219,SIHUAS,021906,HUAYLLABAMBA,7,2092,10,8,2,0,20
21,PUNO,2101,PUNO,210105,CAPACHICA,7,1955,16,10,5,1,32
10,HUANUCO,1002,AMBO,100201,AMBO,7,1933,7,6,3,0,16
19,PASCO,1902,DANIEL ALCIDES CARRION,190202,CHACAYAN,7,1923,18,12,5,1,36
06,CAJAMARCA,0601,CAJAMARCA,060102,ASUNCION,7,1893,11,10,1,0,22
06,CAJAMARCA,0604,CHOTA,060413,PACCHA,7,1780,13,8,5,0,26
03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,7,1759,11,7,4,0,22
06,CAJAMARCA,0604,CHOTA,060402,ANGUIA,7,1755,13,10,3,0,26
12,JUNIN,1202,CONCEPCION,120203,ANDAMARCA,7,1723,11,9,2,0,22
03,APURIMAC,0302,ANDAHUAYLAS,030204,HUANCARAMA,7,1666,10,3,7,0,20
22,SAN MARTIN,2201,MOYOBAMBA,220104,JEPELACIO,7,1644,9,7,2,0,18
02,ANCASH,0212,HUAYLAS,021208,SANTA CRUZ,7,1639,9,7,2,0,18
04,AREQUIPA,0404,CASTILLA,040414,VIRACO,7,1562,8,7,1,0,16
08,CUSCO,0802,ACOMAYO,080206,RONDOCAN,7,1552,9,8,1,0,18
13,LA LIBERTAD,1308,PATAZ,130810,PIAS,7,1494,9,8,1,0,18
06,CAJAMARCA,0611,SAN MIGUEL,061111,SAN SILVESTRE DE COCHAN,7,1399,14,10,4,0,28
03,APURIMAC,0302,ANDAHUAYLAS,030213,SAN JERONIMO,6,14971,15,10,5,0,30
