PY_BAN_ANC,NOM_PROYEC,nom_proyecto_norm,ESTADO_PY,estado_py_norm,total_localidades_beneficiarias,poblacion_2023_total,total_iaos,total_iiee,total_eess,total_dp,total_instituciones_beneficiarias,porcentaje_localidades
PY_REGIONAL,[REGIONAL][CAJAMARCA],REGIONAL][CAJAMARCA,[REFORMULACION-REGIONAL],REFORMULACION-REGIONAL,1094,318113,1830,1336,472,22,3660,15.75
PY_REGIONAL,[REGIONAL][LA LIBERTAD],REGIONAL][LA LIBERTAD,[EN IMPLEMENTACION],EN IMPLEMENTACION,730,292324,959,743,186,30,1918,10.51
PY_REGIONAL,[REGIONAL][ANCASH],REGIONAL][ANCASH,[EN IMPLEMENTACION],EN IMPLEMENTACION,481,190633,817,520,269,28,1634,6.93
PY_REGIONAL,[REGIONAL][PUNO],REGIONAL][PUNO,[EN IMPLEMENTACION],EN IMPLEMENTACION,471,252007,958,635,285,38,1916,6.78
PY_REGIONAL,[REGIONAL][PIURA],REGIONAL][PIURA,[REFORMULACION-REGIONAL],REFORMULACION-REGIONAL,463,190430,669,479,172,18,1338,6.67
PY_REGIONAL,[REGIONAL][JUNIN],REGIONAL][JUNIN,[EN IMPLEMENTACION],EN IMPLEMENTACION,352,251473,557,324,221,12,1114,5.07
PY_REGIONAL,[REGIONAL][HUANUCO],REGIONAL][HUANUCO,[EN IMPLEMENTACION],EN IMPLEMENTACION,348,202017,449,343,159,14,965,5.01
PY_REGIONAL,[REGIONAL][LAMBAYEQUE],REGIONAL][LAMBAYEQUE,[EN OPERACION],EN OPERACION,346,228019,463,355,97,11,926,4.98
PY_REGIONAL,[REGIONAL][CUSCO],REGIONAL][CUSCO,[EN OPERACION],EN OPERACION,316,139967,499,358,114,27,998,4.55
PY_REGIONAL,[REGIONAL][HUANCAVELICA],REGIONAL][HUANCAVELICA,[EN OPERACION],EN OPERACION,279,89869,554,348,190,16,1108,4.02
PY_REGIONAL,[REGIONAL][LIMA],REGIONAL][LIMA,[EN OPERACION],EN OPERACION,279,182507,450,244,190,16,900,4.02
PY_REGIONAL,[REGIONAL][AMAZONAS],REGIONAL][AMAZONAS,[EN IMPLEMENTACION],EN IMPLEMENTACION,268,131361,516,256,218,42,1032,3.86
PY_REGIONAL,[REGIONAL][AYACUCHO],REGIONAL][AYACUCHO,[EN OPERACION],EN OPERACION,267,103169,517,338,170,9,1034,3.84
PY_REGIONAL,[REGIONAL][PASCO],REGIONAL][PASCO,[EN IMPLEMENTACION],EN IMPLEMENTACION,264,112244,545,376,155,14,1090,3.8
PY_REGIONAL,[REGIONAL][AREQUIPA],REGIONAL][AREQUIPA,[EN IMPLEMENTACION],EN IMPLEMENTACION,252,123076,442,268,121,53,884,3.63
PY_REGIONAL,[REGIONAL][SAN MARTIN],REGIONAL][SAN MARTIN,[EN IMPLEMENTACION],EN IMPLEMENTACION,220,192607,371,215,139,17,742,3.17
PY_REGIONAL,[REGIONAL][APURIMAC],REGIONAL][APURIMAC,[EN OPERACION],EN OPERACION,199,77727,419,252,157,10,838,2.87
PY_SELVA,[INTEGRACION AMAZONICA],INTEGRACION AMAZONICA,[EN OPERACION],EN OPERACION,94,55117,115,73,29,7,224,1.35
PY_REGIONAL,[REGIONAL][ICA],REGIONAL][ICA,[EN OPERACION],EN OPERACION,81,70955,116,50,58,8,232,1.17
PY_REGIONAL,[REGIONAL][MOQUEGUA],REGIONAL][MOQUEGUA,[EN OPERACION],EN OPERACION,66,21416,107,69,29,9,214,0.95
PY_REGIONAL,[REGIONAL][TACNA],REGIONAL][TACNA,[EN OPERACION],EN OPERACION,52,17604,103,68,24,11,206,0.75
PY_REGIONAL,[REGIONAL][TUMBES],REGIONAL][TUMBES,[REFORMULACION-REGIONAL],REFORMULACION-REGIONAL,20,12902,32,17,13,2,64,0.29
PY_SELVA,[NAPOPUTUMAYO],NAPOPUTUMAYO,"EN PROCESO DE ACTUALIZACION DE LA CAPACIDAD PRESUPUESTAL, LO CUAL VIENE SIENDO COORDINADA ENTRE EL MEF Y MTC","EN PROCESO DE ACTUALIZACION DE LA CAPACIDAD PRESUPUESTAL, LO CUAL VIENE SIENDO COORDINADA ENTRE EL MEF Y MTC",2,4220,4,2,1,1,8,0.03
PY_SELVA,[MANSERICHE],MANSERICHE,"EN PROCESO DE ACTUALIZACION DE LA CAPACIDAD PRESUPUESTAL, LO CUAL VIENE SIENDO COORDINADA ENTRE EL MEF Y MTC","EN PROCESO DE ACTUALIZACION DE LA CAPACIDAD PRESUPUESTAL, LO CUAL VIENE SIENDO COORDINADA ENTRE EL MEF Y MTC",1,390,2,1,1,0,4,0.01
