OBJECTID,COD_DPTO,NOM_DPTO,COD_PROV,NOM_PROV,COD_DIST,NOM_DIST,COD_CCPP,NOM_CCPP,IDCCPP,REGIóN,PROVINCIA,DISTRITO,LOCALIDAD,NOM_PROY,ESTADO,COD_EST,NOM_EST_SL,COD_EST_SL,FUENTE,UBIGEO,XCENT,YCENT,geom_type,geom_lon,geom_lat,geometry_wkt
1,03,APURIMAC,0301,ABANCAY,030101,ABANCAY,0301010043,ATUMPATA,0301010043,APURIMAC,ABANCAY,ABANCAY,ATUMPATA,[REGIONAL] - [APURIMAC],OPERATIVO,1,ATUMPATA,8824,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030101,-72.852087,-13.650245,Point,-72.852087,-13.650245,POINT (-72.852087 -13.650245)
2,03,APURIMAC,0301,ABANCAY,030101,ABANCAY,0301010012,HUAYLLABAMBA,0301010012,APURIMAC,ABANCAY,ABANCAY,HUAYLLABAMBA,[REGIONAL] - [APURIMAC],OPERATIVO,1,HUAYLLABAMBA,7689,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030101,-72.91462,-13.619191,Point,-72.91462,-13.619191,POINT (-72.91462 -13.619191)
3,03,APURIMAC,0301,ABANCAY,030101,ABANCAY,0301010018,MARCAHUASI,0301010018,APURIMAC,ABANCAY,ABANCAY,MARCAHUASI,[REGIONAL] - [APURIMAC],OPERATIVO,1,MARCAHUASI,2661,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030101,-72.859438,-13.627715,Point,-72.859438,-13.627715,POINT (-72.859438 -13.627715)
4,03,APURIMAC,0301,ABANCAY,030102,CHACOCHE,0301020007,ANCHICHA,0301020007,APURIMAC,ABANCAY,CHACOCHE,ANCHICHA,[REGIONAL] - [APURIMAC],OPERATIVO,1,ANCHICHA,8823,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030102,-73.00722,-13.985662,Point,-73.00722,-13.985662,POINT (-73.00722 -13.985662)
5,03,APURIMAC,0301,ABANCAY,030102,CHACOCHE,0301020001,CHACOCHE,0301020001,APURIMAC,ABANCAY,CHACOCHE,CHACOCHE,[REGIONAL] - [APURIMAC],OPERATIVO,1,CHACOCHE,2666,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030102,-72.991034,-13.941173,Point,-72.991034,-13.941173,POINT (-72.991034 -13.941173)
6,03,APURIMAC,0301,ABANCAY,030103,CIRCA,0301030001,CIRCA,0301030001,APURIMAC,ABANCAY,CIRCA,CIRCA,[REGIONAL] - [APURIMAC],OPERATIVO,1,CIRCA,2667,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030103,-72.875717,-13.878419,Point,-72.875717,-13.878419,POINT (-72.875717 -13.878419)
7,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040057,BACAS,0301040057,APURIMAC,ABANCAY,CURAHUASI,BACAS,[REGIONAL] - [APURIMAC],OPERATIVO,1,BACAS,2632,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.761342,-13.572593,Point,-72.761342,-13.572593,POINT (-72.761342 -13.572593)
8,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040089,CCOLLPA,0301040089,APURIMAC,ABANCAY,CURAHUASI,CCOLLPA,[REGIONAL] - [APURIMAC],OPERATIVO,1,CCOLLPA,2633,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.495147,-13.701495,Point,-72.495147,-13.701495,POINT (-72.495147 -13.701495)
9,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040001,CURAHUASI,0301040001,APURIMAC,ABANCAY,CURAHUASI,CURAHUASI,[REGIONAL] - [APURIMAC],OPERATIVO,1,CURAHUASI,2630,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.696012,-13.541302,Point,-72.696012,-13.541302,POINT (-72.696012 -13.541302)
10,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,0301040023,OCCORURO,0301040023,APURIMAC,ABANCAY,CURAHUASI,OCCORURO,[REGIONAL] - [APURIMAC],OPERATIVO,1,OCCORURO,2635,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",030104,-72.746487,-13.538405,Point,-72.746487,-13.538405,POINT (-72.746487 -13.538405)
