COD_DPTO,NOM_DPTO,establecimientos,operativos,no_operativos,provincias,distritos,centros_poblados,proyectos,porcentaje_operativo,porcentaje_no_operativo
06,CAJAMARCA,558,0,558,13,117,558,1,0.0,100.0
21,PUNO,285,91,194,13,98,285,1,31.9298,68.0702
02,ANCASH,269,0,269,20,137,269,1,0.0,100.0
09,HUANCAVELICA,244,244,0,7,89,244,1,100.0,0.0
05,AYACUCHO,232,232,0,11,103,232,1,100.0,0.0
03,APURIMAC,225,225,0,7,82,225,1,100.0,0.0
12,JUNIN,221,112,109,9,97,221,1,50.6787,49.3213
20,PIURA,219,0,219,8,49,219,1,0.0,100.0
01,AMAZONAS,218,0,218,7,76,218,1,0.0,100.0
15,LIMA,201,201,0,9,115,201,1,100.0,0.0
13,LA LIBERTAD,186,0,186,12,65,184,1,0.0,100.0
10,HUANUCO,161,0,161,11,72,161,1,0.0,100.0
19,PASCO,155,0,155,3,28,154,1,0.0,100.0
08,CUSCO,147,147,0,13,83,147,1,100.0,0.0
22,SAN MARTIN,139,0,139,10,55,139,1,0.0,100.0
04,AREQUIPA,121,0,121,8,80,119,1,0.0,100.0
14,LAMBAYEQUE,108,108,0,3,31,108,1,100.0,0.0
16,LORETO,80,29,51,6,20,79,3,36.25,63.75
11,ICA,58,30,28,5,27,58,1,51.7241,48.2759
18,MOQUEGUA,29,27,2,3,17,29,1,93.1034,6.8966
23,TACNA,24,19,5,4,16,24,1,79.1667,20.8333
24,TUMBES,24,0,24,3,9,24,1,0.0,100.0
