UBIGEO,COD_DPTO,NOM_DPTO,COD_PROV,NOM_PROV,COD_DIST,NOM_DIST,establecimientos,operativos,no_operativos,centros_poblados,proyectos,porcentaje_operativo
060601,06,CAJAMARCA,0606,CUTERVO,060601,CUTERVO,43,0,43,43,1,0.0
060701,06,CAJAMARCA,0607,HUALGAYOC,060701,BAMBAMARCA,27,0,27,27,1,0.0
200201,20,PIURA,2002,AYABACA,200201,AYABACA,25,0,25,25,1,0.0
010702,01,AMAZONAS,0107,UTCUBAMBA,010702,CAJARURO,25,0,25,25,1,0.0
140306,14,LAMBAYEQUE,1403,LAMBAYEQUE,140306,MORROPE,21,21,0,21,1,100.0
210501,21,PUNO,2105,EL COLLAO,210501,ILAVE,20,0,20,20,1,0.0
060401,06,CAJAMARCA,0604,CHOTA,060401,CHOTA,19,0,19,19,1,0.0
190201,19,PASCO,1902,DANIEL ALCIDES CARRION,190201,YANAHUANCA,19,0,19,19,1,0.0
060607,06,CAJAMARCA,0606,CUTERVO,060607,QUEROCOTILLO,19,0,19,19,1,0.0
090117,09,HUANCAVELICA,0901,HUANCAVELICA,090117,YAULI,18,18,0,18,1,100.0
010701,01,AMAZONAS,0107,UTCUBAMBA,010701,BAGUA GRANDE,18,0,18,18,1,0.0
090103,09,HUANCAVELICA,0901,HUANCAVELICA,090103,ACORIA,16,16,0,16,1,100.0
120606,12,JUNIN,1206,SATIPO,120606,PANGOA,15,15,0,15,1,100.0
060417,06,CAJAMARCA,0604,CHOTA,060417,TACABAMBA,14,0,14,14,1,0.0
190206,19,PASCO,1902,DANIEL ALCIDES CARRION,190206,SANTA ANA DE TUSI,14,0,14,14,1,0.0
160703,16,LORETO,1607,DATEM DEL MARAÑON,160703,MANSERICHE,14,0,14,14,1,0.0
060614,06,CAJAMARCA,0606,CUTERVO,060614,SOCOTA,13,0,13,13,1,0.0
200304,20,PIURA,2003,HUANCABAMBA,200304,HUARMACA,13,0,13,13,1,0.0
210102,21,PUNO,2101,PUNO,210102,ACORA,13,4,9,13,1,30.7692
200111,20,PIURA,2001,PIURA,200111,LAS LOMAS,13,0,13,13,1,0.0
060901,06,CAJAMARCA,0609,SAN IGNACIO,060901,SAN IGNACIO,13,0,13,13,1,0.0
060602,06,CAJAMARCA,0606,CUTERVO,060602,CALLAYUC,13,0,13,13,1,0.0
060904,06,CAJAMARCA,0609,SAN IGNACIO,060904,LA COIPA,13,0,13,13,1,0.0
060906,06,CAJAMARCA,0609,SAN IGNACIO,060906,SAN JOSE DE LOURDES,12,0,12,12,1,0.0
060419,06,CAJAMARCA,0604,CHOTA,060419,CHALAMARCA,11,0,11,11,1,0.0
190308,19,PASCO,1903,OXAPAMPA,190308,CONSTITUCION,11,0,11,11,1,0.0
060410,06,CAJAMARCA,0604,CHOTA,060410,LAJAS,11,0,11,11,1,0.0
120608,12,JUNIN,1206,SATIPO,120608,RIO TAMBO,11,6,5,11,1,54.5455
140308,14,LAMBAYEQUE,1403,LAMBAYEQUE,140308,OLMOS,11,11,0,11,1,100.0
060101,06,CAJAMARCA,0601,CAJAMARCA,060101,CAJAMARCA,10,0,10,10,1,0.0
220101,22,SAN MARTIN,2201,MOYOBAMBA,220101,MOYOBAMBA,10,0,10,10,1,0.0
060903,06,CAJAMARCA,0609,SAN IGNACIO,060903,HUARANGO,10,0,10,10,1,0.0
010401,01,AMAZONAS,0104,CONDORCANQUI,010401,NIEVA,10,0,10,10,1,0.0
130614,13,LA LIBERTAD,1306,OTUZCO,130614,USQUIL,10,0,10,10,1,0.0
190306,19,PASCO,1903,OXAPAMPA,190306,PUERTO BERMUDEZ,10,0,10,10,1,0.0
140203,14,LAMBAYEQUE,1402,FERREÑAFE,140203,INCAHUASI,10,10,0,10,1,100.0
020105,02,ANCASH,0201,HUARAZ,020105,INDEPENDENCIA,10,0,10,10,1,0.0
200604,20,PIURA,2006,SULLANA,200604,LANCONES,10,0,10,10,1,0.0
010705,01,AMAZONAS,0107,UTCUBAMBA,010705,JAMALCA,10,0,10,10,1,0.0
060703,06,CAJAMARCA,0607,HUALGAYOC,060703,HUALGAYOC,9,0,9,9,1,0.0
200114,20,PIURA,2001,PIURA,200114,TAMBO GRANDE,9,0,9,9,1,0.0
120302,12,JUNIN,1203,CHANCHAMAYO,120302,PERENE,9,4,5,9,1,44.4444
050408,05,AYACUCHO,0504,HUANTA,050408,LLOCHEGUA,9,9,0,9,1,100.0
150601,15,LIMA,1506,HUARAL,150601,HUARAL,9,9,0,9,1,100.0
090301,09,HUANCAVELICA,0903,ANGARAES,090301,LIRCAY,9,9,0,9,1,100.0
190304,19,PASCO,1903,OXAPAMPA,190304,PALCAZU,9,0,9,9,1,0.0
130602,13,LA LIBERTAD,1306,OTUZCO,130602,AGALLPAMPA,9,0,9,9,1,0.0
021801,02,ANCASH,0218,SANTA,021801,CHIMBOTE,9,0,9,9,1,0.0
030204,03,APURIMAC,0302,ANDAHUAYLAS,030204,HUANCARAMA,9,9,0,9,1,100.0
200601,20,PIURA,2006,SULLANA,200601,SULLANA,8,0,8,8,1,0.0
200210,20,PIURA,2002,AYABACA,200210,SUYO,8,0,8,8,1,0.0
090208,09,HUANCAVELICA,0902,ACOBAMBA,090208,ROSARIO,8,8,0,8,1,100.0
010706,01,AMAZONAS,0107,UTCUBAMBA,010706,LONYA GRANDE,8,0,8,8,1,0.0
200605,20,PIURA,2006,SULLANA,200605,MARCAVELICA,8,0,8,8,1,0.0
120114,12,JUNIN,1201,HUANCAYO,120114,EL TAMBO,8,0,8,8,1,0.0
220804,22,SAN MARTIN,2208,RIOJA,220804,NUEVA CAJAMARCA,8,0,8,8,1,0.0
140205,14,LAMBAYEQUE,1402,FERREÑAFE,140205,PITIPO,8,8,0,8,1,100.0
160107,16,LORETO,1601,MAYNAS,160107,NAPO,8,0,8,8,1,0.0
190107,19,PASCO,1901,PASCO,190107,PAUCARTAMBO,8,0,8,8,1,0.0
060612,06,CAJAMARCA,0606,CUTERVO,060612,SANTO DOMINGO DE LA CAPILLA,8,0,8,8,1,0.0
060409,06,CAJAMARCA,0604,CHOTA,060409,HUAMBOS,8,0,8,8,1,0.0
060105,06,CAJAMARCA,0601,CAJAMARCA,060105,ENCAÑADA,8,0,8,8,1,0.0
080907,08,CUSCO,0809,LA CONVENCION,080907,KIMBIRI,8,8,0,8,1,100.0
190305,19,PASCO,1903,OXAPAMPA,190305,POZUZO,8,0,8,8,1,0.0
210503,21,PUNO,2105,EL COLLAO,210503,PILCUYO,8,0,8,8,1,0.0
060801,06,CAJAMARCA,0608,JAEN,060801,JAEN,8,0,8,8,1,0.0
060802,06,CAJAMARCA,0608,JAEN,060802,BELLAVISTA,8,0,8,8,1,0.0
021206,02,ANCASH,0212,HUAYLAS,021206,PAMPAROMAS,8,0,8,8,1,0.0
210406,21,PUNO,2104,CHUCUITO,210406,POMATA,8,2,6,8,1,25.0
221005,22,SAN MARTIN,2210,TOCACHE,221005,UCHIZA,7,0,7,7,1,0.0
060309,06,CAJAMARCA,0603,CELENDIN,060309,SOROCHUCO,7,0,7,7,1,0.0
060304,06,CAJAMARCA,0603,CELENDIN,060304,HUASMIN,7,0,7,7,1,0.0
060613,06,CAJAMARCA,0606,CUTERVO,060613,SANTO TOMAS,7,0,7,7,1,0.0
210608,21,PUNO,2106,HUANCANE,210608,VILQUE CHICO,7,0,7,7,1,0.0
010202,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,7,0,7,7,1,0.0
090203,09,HUANCAVELICA,0902,ACOBAMBA,090203,ANTA,7,7,0,7,1,100.0
080910,08,CUSCO,0809,LA CONVENCION,080910,PICHARI,7,7,0,7,1,100.0
200206,20,PIURA,2002,AYABACA,200206,PACAIPAMPA,7,0,7,7,1,0.0
210601,21,PUNO,2106,HUANCANE,210601,HUANCANE,7,0,7,7,1,0.0
090709,09,HUANCAVELICA,0907,TAYACAJA,090709,HUARIBAMBA,7,7,0,7,1,100.0
090302,09,HUANCAVELICA,0903,ANGARAES,090302,ANCHONGA,7,7,0,7,1,100.0
080701,08,CUSCO,0807,CHUMBIVILCAS,080701,SANTO TOMAS,7,7,0,7,1,100.0
210407,21,PUNO,2104,CHUCUITO,210407,ZEPITA,7,1,6,7,1,14.2857
010704,01,AMAZONAS,0107,UTCUBAMBA,010704,EL MILAGRO,7,0,7,7,1,0.0
040108,04,AREQUIPA,0401,AREQUIPA,040108,LA JOYA,7,0,7,7,1,0.0
100507,10,HUANUCO,1005,HUAMALIES,100507,MONZON,7,0,7,7,1,0.0
200306,20,PIURA,2003,HUANCABAMBA,200306,SAN MIGUEL DE EL FAIQUE,7,0,7,7,1,0.0
030104,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,7,7,0,7,1,100.0
160106,16,LORETO,1601,MAYNAS,160106,MAZAN,7,3,4,7,2,42.8571
030208,03,APURIMAC,0302,ANDAHUAYLAS,030208,PACOBAMBA,7,7,0,7,1,100.0
090206,09,HUANCAVELICA,0902,ACOBAMBA,090206,PAUCARA,7,7,0,7,1,100.0
030107,03,APURIMAC,0301,ABANCAY,030107,PICHIRHUA,7,7,0,7,1,100.0
190109,19,PASCO,1901,PASCO,190109,SIMON BOLIVAR,7,0,7,7,1,0.0
060415,06,CAJAMARCA,0604,CHOTA,060415,QUEROCOTO,7,0,7,7,1,0.0
140310,14,LAMBAYEQUE,1403,LAMBAYEQUE,140310,SALAS,7,7,0,7,1,100.0
130504,13,LA LIBERTAD,1305,JULCAN,130504,HUASO,7,0,7,7,1,0.0
030215,03,APURIMAC,0302,ANDAHUAYLAS,030215,SANTA MARIA DE CHICMO,7,7,0,7,1,100.0
030202,03,APURIMAC,0302,ANDAHUAYLAS,030202,ANDARAPA,7,7,0,7,1,100.0
030213,03,APURIMAC,0302,ANDAHUAYLAS,030213,SAN JERONIMO,7,7,0,7,1,100.0
190307,19,PASCO,1903,OXAPAMPA,190307,VILLA RICA,7,0,7,7,1,0.0
030504,03,APURIMAC,0305,COTABAMBAS,030504,HAQUIRA,7,7,0,7,1,100.0
210901,21,PUNO,2109,MOHO,210901,MOHO,6,0,6,6,1,0.0
050202,05,AYACUCHO,0502,CANGALLO,050202,CHUSCHI,6,6,0,6,1,100.0
100109,10,HUANUCO,1001,HUANUCO,100109,SANTA MARIA DEL VALLE,6,0,6,6,1,0.0
060812,06,CAJAMARCA,0608,JAEN,060812,SANTA ROSA,6,0,6,6,1,0.0
060805,06,CAJAMARCA,0608,JAEN,060805,HUABAL,6,0,6,6,1,0.0
060202,06,CAJAMARCA,0602,CAJABAMBA,060202,CACHACHI,6,0,6,6,1,0.0
061303,06,CAJAMARCA,0613,SANTA CRUZ,061303,CATACHE,6,0,6,6,1,0.0
200301,20,PIURA,2003,HUANCABAMBA,200301,HUANCABAMBA,6,0,6,6,1,0.0
220805,22,SAN MARTIN,2208,RIOJA,220805,PARDO MIGUEL,6,0,6,6,1,0.0
060413,06,CAJAMARCA,0604,CHOTA,060413,PACCHA,6,0,6,6,1,0.0
150201,15,LIMA,1502,BARRANCA,150201,BARRANCA,6,6,0,6,1,100.0
220511,22,SAN MARTIN,2205,LAMAS,220511,ZAPATERO,6,0,6,6,1,0.0
051108,05,AYACUCHO,0511,VILCAS HUAMAN,051108,VISCHONGO,6,6,0,6,1,100.0
211301,21,PUNO,2113,YUNGUYO,211301,YUNGUYO,6,0,6,6,1,0.0
050114,05,AYACUCHO,0501,HUAMANGA,050114,VINCHOS,6,6,0,6,1,100.0
010206,01,AMAZONAS,0102,BAGUA,010206,LA PECA,6,0,6,6,1,0.0
060408,06,CAJAMARCA,0604,CHOTA,060408,CONCHAN,6,0,6,6,1,0.0
130905,13,LA LIBERTAD,1309,SANCHEZ CARRION,130905,MARCABAL,6,0,6,6,1,0.0
131201,13,LA LIBERTAD,1312,VIRU,131201,VIRU,6,0,6,6,1,0.0
030608,03,APURIMAC,0306,CHINCHEROS,030608,RANRACANCHA,6,6,0,6,1,100.0
131006,13,LA LIBERTAD,1310,SANTIAGO DE CHUCO,131006,QUIRUVILCA,6,0,6,6,1,0.0
022008,02,ANCASH,0220,YUNGAY,022008,YANAMA,6,0,6,6,1,0.0
022001,02,ANCASH,0220,YUNGAY,022001,YUNGAY,6,0,6,6,1,0.0
160402,16,LORETO,1604,MARISCAL RAMON CASTILLA,160402,PEBAS,6,6,0,6,1,100.0
130501,13,LA LIBERTAD,1305,JULCAN,130501,JULCAN,6,0,6,6,1,0.0
100902,10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,6,0,6,6,1,0.0
120402,12,JUNIN,1204,JAUJA,120402,ACOLLA,6,6,0,6,1,100.0
