NOM_PROY,establecimientos,operativos,no_operativos,departamentos,provincias,distritos,porcentaje_operativo
[REGIONAL][CAJAMARCA],558,0,558,1,13,117,0.0
[REGIONAL][PUNO],285,91,194,1,13,98,31.9298
[REGIONAL][ANCASH],269,0,269,1,20,137,0.0
[REGIONAL] - [HUANCAVELICA],244,244,0,1,7,89,100.0
[REGIONAL] - [AYACUCHO],232,232,0,1,11,103,100.0
[REGIONAL] - [APURIMAC],225,225,0,1,7,82,100.0
[REGIONAL][JUNIN],221,112,109,1,9,97,50.6787
[REGIONAL][PIURA],219,0,219,1,8,49,0.0
[REGIONAL][AMAZONAS],218,0,218,1,7,76,0.0
[REGIONAL][LIMA],201,201,0,1,9,115,100.0
[REGIONAL][LA LIBERTAD],186,0,186,1,12,65,0.0
[REGIONAL][HUANUCO],161,0,161,1,11,72,0.0
[REGIONAL][PASCO],155,0,155,1,3,28,0.0
[REGIONAL] - [CUSCO],147,147,0,1,13,83,100.0
[REGIONAL][SAN MARTIN],139,0,139,1,10,55,0.0
[REGIONAL][AREQUIPA],121,0,121,1,8,80,0.0
[REGIONAL] - [LAMBAYEQUE],108,108,0,1,3,31,100.0
[REGIONAL][ICA],58,30,28,1,5,27,51.7241
[REGIONAL][NAPO-PUTUMAYO],37,0,37,1,4,12,0.0
[REGIONAL][INTEGRACION AMAZONICA],29,29,0,1,2,9,100.0
[REGIONAL][MOQUEGUA],29,27,2,1,3,17,93.1034
[REGIONAL][TACNA],24,19,5,1,4,16,79.1667
[REGIONAL][TUMBES],24,0,24,1,3,9,0.0
[REGIONAL][MANSERICHE],14,0,14,1,1,1,0.0
